"","from","to","year"
"1",1,247,2000
"2",2,248,2000
"3",3,249,2000
"4",4,12,2000
"5",4,150,2000
"6",4,250,2000
"7",5,251,2000
"8",6,47,2000
"9",6,60,2000
"10",6,128,2000
"11",6,133,2000
"12",6,252,2000
"13",7,70,2000
"14",7,80,2000
"15",7,221,2000
"16",8,66,2000
"17",8,224,2000
"18",8,253,2000
"19",9,131,2000
"20",9,254,2000
"21",10,215,2000
"22",10,255,2000
"23",11,19,2000
"24",11,174,2000
"25",11,256,2000
"26",12,150,2000
"27",12,250,2000
"28",13,59,2000
"29",13,89,2000
"30",13,135,2000
"31",13,229,2000
"32",13,257,2000
"33",14,140,2000
"34",14,258,2000
"35",15,259,2000
"36",16,260,2000
"37",17,261,2000
"38",18,240,2000
"39",18,262,2000
"40",19,174,2000
"41",19,256,2000
"42",20,263,2000
"43",20,264,2000
"44",21,265,2000
"45",22,266,2000
"46",22,123,2000
"47",23,185,2000
"48",23,199,2000
"49",23,202,2000
"50",23,228,2000
"51",23,267,2000
"52",24,268,2000
"53",25,269,2000
"54",26,270,2000
"55",27,226,2000
"56",27,271,2000
"57",28,272,2000
"58",29,259,2000
"59",30,121,2000
"60",30,273,2000
"61",31,91,2000
"62",32,62,2000
"63",32,274,2000
"64",33,275,2000
"65",34,66,2000
"66",34,82,2000
"67",34,207,2000
"68",34,276,2000
"69",35,103,2000
"70",35,212,2000
"71",35,277,2000
"72",36,119,2000
"73",36,278,2000
"74",37,98,2000
"75",37,112,2000
"76",37,222,2000
"77",37,279,2000
"78",38,245,2000
"79",39,52,2000
"80",39,109,2000
"81",39,143,2000
"82",39,162,2000
"83",39,166,2000
"84",39,280,2000
"85",40,93,2000
"86",40,281,2000
"87",40,282,2000
"88",40,283,2000
"89",41,284,2000
"90",42,163,2000
"91",42,285,2000
"92",43,286,2000
"93",44,53,2000
"94",44,76,2000
"95",44,287,2000
"96",45,57,2000
"97",45,288,2000
"98",46,183,2000
"99",46,289,2000
"100",47,60,2000
"101",47,128,2000
"102",47,133,2000
"103",47,252,2000
"104",48,290,2000
"105",49,55,2000
"106",49,108,2000
"107",49,200,2000
"108",49,291,2000
"109",50,138,2000
"110",50,231,2000
"111",50,292,2000
"112",51,56,2000
"113",52,109,2000
"114",52,143,2000
"115",52,162,2000
"116",52,166,2000
"117",52,280,2000
"118",53,76,2000
"119",53,287,2000
"120",54,293,2000
"121",55,108,2000
"122",55,200,2000
"123",55,291,2000
"124",56,157,2000
"125",56,241,2000
"126",56,294,2000
"127",56,246,2000
"128",57,288,2000
"129",58,295,2000
"130",59,135,2000
"131",60,128,2000
"132",60,133,2000
"133",60,252,2000
"134",61,83,2000
"135",61,171,2000
"136",61,176,2000
"137",61,296,2000
"138",62,274,2000
"139",63,97,2000
"140",63,128,2000
"141",63,144,2000
"142",63,297,2000
"143",64,119,2000
"144",64,298,2000
"145",65,161,2000
"146",65,299,2000
"147",65,300,2000
"148",66,82,2000
"149",66,207,2000
"150",66,224,2000
"151",66,276,2000
"152",66,253,2000
"153",67,301,2000
"154",68,302,2000
"155",69,95,2000
"156",70,80,2000
"157",70,221,2000
"158",71,87,2000
"159",71,211,2000
"160",71,303,2000
"161",72,123,2000
"162",73,85,2000
"163",73,153,2000
"164",73,304,2000
"165",74,250,2000
"166",75,305,2000
"167",76,287,2000
"168",77,306,2000
"169",78,307,2000
"170",78,308,2000
"171",79,168,2000
"172",79,218,2000
"173",80,221,2000
"174",81,158,2000
"175",82,207,2000
"176",82,276,2000
"177",83,171,2000
"178",83,176,2000
"179",83,296,2000
"180",84,147,2000
"181",84,223,2000
"182",84,309,2000
"183",85,153,2000
"184",85,304,2000
"185",86,159,2000
"186",86,193,2000
"187",86,233,2000
"188",86,310,2000
"189",87,211,2000
"190",87,303,2000
"191",88,125,2000
"192",88,311,2000
"193",89,135,2000
"194",89,229,2000
"195",89,257,2000
"196",90,101,2000
"197",90,312,2000
"198",90,217,2000
"199",90,313,2000
"200",91,314,2000
"201",92,270,2000
"202",93,283,2000
"203",94,156,2000
"204",95,146,2000
"205",95,186,2000
"206",95,315,2000
"207",95,316,2000
"208",96,151,2000
"209",96,270,2000
"210",97,128,2000
"211",97,144,2000
"212",97,297,2000
"213",98,222,2000
"214",99,317,2000
"215",100,221,2000
"216",100,318,2000
"217",101,312,2000
"218",101,319,2000
"219",102,320,2000
"220",103,212,2000
"221",103,277,2000
"222",104,321,2000
"223",105,235,2000
"224",105,322,2000
"225",106,323,2000
"226",107,259,2000
"227",108,200,2000
"228",108,291,2000
"229",109,143,2000
"230",109,162,2000
"231",109,166,2000
"232",109,280,2000
"233",110,182,2000
"234",110,324,2000
"235",111,164,2000
"236",111,203,2000
"237",111,242,2000
"238",111,325,2000
"239",112,222,2000
"240",112,279,2000
"241",113,326,2000
"242",114,327,2000
"243",115,328,2000
"244",116,159,2000
"245",116,329,2000
"246",117,307,2000
"247",118,330,2000
"248",119,298,2000
"249",119,278,2000
"250",120,227,2000
"251",120,331,2000
"252",121,273,2000
"253",122,206,2000
"254",122,332,2000
"255",123,333,2000
"256",124,334,2000
"257",125,311,2000
"258",126,335,2000
"259",127,159,2000
"260",127,329,2000
"261",128,133,2000
"262",128,144,2000
"263",128,252,2000
"264",128,297,2000
"265",129,189,2000
"266",129,336,2000
"267",130,337,2000
"268",131,254,2000
"269",132,338,2000
"270",133,252,2000
"271",134,210,2000
"272",134,339,2000
"273",135,229,2000
"274",135,257,2000
"275",136,220,2000
"276",136,340,2000
"277",137,148,2000
"278",137,341,2000
"279",138,231,2000
"280",138,292,2000
"281",139,190,2000
"282",139,195,2000
"283",139,342,2000
"284",140,258,2000
"285",141,197,2000
"286",141,343,2000
"287",142,234,2000
"288",143,162,2000
"289",143,166,2000
"290",143,280,2000
"291",144,297,2000
"292",145,160,2000
"293",145,244,2000
"294",145,344,2000
"295",146,316,2000
"296",147,223,2000
"297",147,309,2000
"298",148,341,2000
"299",149,216,2000
"300",149,345,2000
"301",150,250,2000
"302",151,270,2000
"303",152,346,2000
"304",153,304,2000
"305",154,179,2000
"306",154,347,2000
"307",155,158,2000
"308",155,177,2000
"309",155,191,2000
"310",155,348,2000
"311",156,349,2000
"312",156,350,2000
"313",157,241,2000
"314",157,246,2000
"315",158,177,2000
"316",158,191,2000
"317",158,348,2000
"318",159,193,2000
"319",159,233,2000
"320",159,329,2000
"321",159,310,2000
"322",160,344,2000
"323",161,300,2000
"324",162,166,2000
"325",162,280,2000
"326",163,285,2000
"327",164,203,2000
"328",164,242,2000
"329",164,325,2000
"330",165,184,2000
"331",165,351,2000
"332",166,280,2000
"333",167,352,2000
"334",168,218,2000
"335",168,353,2000
"336",169,210,2000
"337",170,212,2000
"338",170,230,2000
"339",170,354,2000
"340",171,176,2000
"341",171,296,2000
"342",172,355,2000
"343",173,209,2000
"344",173,221,2000
"345",174,256,2000
"346",175,356,2000
"347",176,296,2000
"348",177,191,2000
"349",177,348,2000
"350",178,192,2000
"351",178,357,2000
"352",179,347,2000
"353",180,358,2000
"354",181,198,2000
"355",181,359,2000
"356",182,324,2000
"357",183,360,2000
"358",183,289,2000
"359",184,351,2000
"360",185,199,2000
"361",185,202,2000
"362",185,228,2000
"363",185,267,2000
"364",186,315,2000
"365",187,361,2000
"366",188,362,2000
"367",189,336,2000
"368",190,195,2000
"369",190,342,2000
"370",191,348,2000
"371",192,357,2000
"372",193,233,2000
"373",193,310,2000
"374",194,363,2000
"375",195,342,2000
"376",196,364,2000
"377",197,343,2000
"378",198,359,2000
"379",199,202,2000
"380",199,228,2000
"381",199,267,2000
"382",200,220,2000
"383",200,291,2000
"384",201,248,2000
"385",202,228,2000
"386",202,267,2000
"387",203,242,2000
"388",203,325,2000
"389",204,365,2000
"390",205,222,2000
"391",206,332,2000
"392",207,276,2000
"393",208,366,2000
"394",209,221,2000
"395",210,339,2000
"396",211,303,2000
"397",212,277,2000
"398",212,230,2000
"399",212,354,2000
"400",213,367,2000
"401",214,368,2000
"402",215,255,2000
"403",216,345,2000
"404",217,313,2000
"405",218,353,2000
"406",219,369,2000
"407",220,340,2000
"408",221,318,2000
"409",222,279,2000
"410",223,309,2000
"411",224,253,2000
"412",225,370,2000
"413",226,371,2000
"414",226,271,2000
"415",227,331,2000
"416",228,267,2000
"417",229,257,2000
"418",230,354,2000
"419",231,292,2000
"420",232,372,2000
"421",233,310,2000
"422",234,373,2000
"423",235,322,2000
"424",236,284,2000
"425",237,366,2000
"426",238,374,2000
"427",239,375,2000
"428",240,262,2000
"429",240,376,2000
"430",241,246,2000
"431",242,325,2000
"432",243,377,2000
"433",244,344,2000
"434",245,378,2000
"435",246,366,2000
"436",1,270,2001
"437",2,271,2001
"438",3,77,2001
"439",3,272,2001
"440",4,273,2001
"441",5,274,2001
"442",6,181,2001
"443",6,275,2001
"444",7,52,2001
"445",7,80,2001
"446",7,144,2001
"447",7,252,2001
"448",7,276,2001
"449",7,277,2001
"450",8,150,2001
"451",8,241,2001
"452",8,278,2001
"453",9,267,2001
"454",10,109,2001
"455",10,231,2001
"456",10,279,2001
"457",11,84,2001
"458",11,193,2001
"459",11,232,2001
"460",11,235,2001
"461",11,280,2001
"462",12,17,2001
"463",12,34,2001
"464",12,39,2001
"465",12,70,2001
"466",12,74,2001
"467",12,90,2001
"468",12,110,2001
"469",12,281,2001
"470",12,282,2001
"471",12,283,2001
"472",12,284,2001
"473",13,148,2001
"474",13,285,2001
"475",14,60,2001
"476",14,172,2001
"477",14,286,2001
"478",15,44,2001
"479",15,287,2001
"480",16,288,2001
"481",16,289,2001
"482",16,290,2001
"483",17,34,2001
"484",17,39,2001
"485",17,70,2001
"486",17,110,2001
"487",17,281,2001
"488",18,291,2001
"489",19,292,2001
"490",20,83,2001
"491",20,220,2001
"492",20,293,2001
"493",21,257,2001
"494",21,267,2001
"495",22,294,2001
"496",23,47,2001
"497",23,295,2001
"498",24,296,2001
"499",25,86,2001
"500",25,297,2001
"501",26,102,2001
"502",26,298,2001
"503",27,299,2001
"504",28,54,2001
"505",28,300,2001
"506",29,31,2001
"507",29,198,2001
"508",29,208,2001
"509",29,244,2001
"510",29,301,2001
"511",30,78,2001
"512",31,198,2001
"513",31,208,2001
"514",31,244,2001
"515",31,301,2001
"516",32,302,2001
"517",33,292,2001
"518",34,39,2001
"519",34,70,2001
"520",34,90,2001
"521",34,110,2001
"522",34,281,2001
"523",34,284,2001
"524",35,56,2001
"525",35,199,2001
"526",35,296,2001
"527",36,303,2001
"528",37,181,2001
"529",38,206,2001
"530",38,304,2001
"531",39,70,2001
"532",39,110,2001
"533",39,281,2001
"534",40,147,2001
"535",40,175,2001
"536",40,176,2001
"537",40,250,2001
"538",40,305,2001
"539",41,180,2001
"540",41,306,2001
"541",42,307,2001
"542",43,67,2001
"543",43,308,2001
"544",44,287,2001
"545",45,309,2001
"546",46,310,2001
"547",47,295,2001
"548",48,129,2001
"549",48,170,2001
"550",48,192,2001
"551",48,198,2001
"552",49,62,2001
"553",49,95,2001
"554",49,311,2001
"555",50,55,2001
"556",50,233,2001
"557",50,312,2001
"558",51,246,2001
"559",51,313,2001
"560",52,80,2001
"561",52,97,2001
"562",52,144,2001
"563",52,252,2001
"564",52,277,2001
"565",53,314,2001
"566",54,300,2001
"567",55,233,2001
"568",55,312,2001
"569",56,199,2001
"570",56,296,2001
"571",57,315,2001
"572",58,65,2001
"573",58,158,2001
"574",58,316,2001
"575",59,198,2001
"576",60,94,2001
"577",60,172,2001
"578",60,317,2001
"579",60,286,2001
"580",61,78,2001
"581",61,318,2001
"582",62,95,2001
"583",62,311,2001
"584",63,319,2001
"585",63,320,2001
"586",64,155,2001
"587",64,166,2001
"588",64,321,2001
"589",65,158,2001
"590",65,316,2001
"591",66,322,2001
"592",67,308,2001
"593",67,323,2001
"594",68,141,2001
"595",68,324,2001
"596",69,186,2001
"597",69,325,2001
"598",70,110,2001
"599",70,281,2001
"600",71,326,2001
"601",72,327,2001
"602",72,328,2001
"603",73,140,2001
"604",73,329,2001
"605",74,282,2001
"606",75,135,2001
"607",75,330,2001
"608",76,194,2001
"609",76,243,2001
"610",76,331,2001
"611",77,214,2001
"612",77,272,2001
"613",77,238,2001
"614",77,332,2001
"615",78,139,2001
"616",78,327,2001
"617",78,318,2001
"618",79,333,2001
"619",80,144,2001
"620",80,252,2001
"621",80,277,2001
"622",81,232,2001
"623",82,334,2001
"624",83,137,2001
"625",83,220,2001
"626",83,293,2001
"627",84,193,2001
"628",84,232,2001
"629",84,235,2001
"630",84,280,2001
"631",85,218,2001
"632",86,297,2001
"633",87,335,2001
"634",88,174,2001
"635",88,336,2001
"636",89,198,2001
"637",90,284,2001
"638",91,337,2001
"639",92,338,2001
"640",93,122,2001
"641",93,339,2001
"642",94,317,2001
"643",95,311,2001
"644",96,225,2001
"645",97,277,2001
"646",98,232,2001
"647",98,340,2001
"648",99,188,2001
"649",99,195,2001
"650",99,341,2001
"651",100,342,2001
"652",101,130,2001
"653",102,298,2001
"654",103,343,2001
"655",103,344,2001
"656",103,345,2001
"657",104,183,2001
"658",105,269,2001
"659",105,346,2001
"660",106,164,2001
"661",106,296,2001
"662",107,112,2001
"663",107,347,2001
"664",108,228,2001
"665",108,348,2001
"666",109,231,2001
"667",109,279,2001
"668",110,281,2001
"669",111,134,2001
"670",111,197,2001
"671",111,349,2001
"672",112,347,2001
"673",113,350,2001
"674",114,211,2001
"675",114,351,2001
"676",115,229,2001
"677",115,352,2001
"678",116,164,2001
"679",116,199,2001
"680",116,202,2001
"681",116,209,2001
"682",116,263,2001
"683",116,353,2001
"684",117,290,2001
"685",118,120,2001
"686",118,354,2001
"687",119,355,2001
"688",120,354,2001
"689",121,123,2001
"690",121,169,2001
"691",121,178,2001
"692",121,356,2001
"693",122,339,2001
"694",123,169,2001
"695",123,178,2001
"696",123,356,2001
"697",124,224,2001
"698",124,357,2001
"699",125,177,2001
"700",125,179,2001
"701",125,358,2001
"702",126,157,2001
"703",126,359,2001
"704",127,360,2001
"705",128,361,2001
"706",129,170,2001
"707",129,192,2001
"708",129,198,2001
"709",130,216,2001
"710",130,362,2001
"711",130,363,2001
"712",130,364,2001
"713",131,230,2001
"714",131,234,2001
"715",131,365,2001
"716",132,366,2001
"717",133,182,2001
"718",133,367,2001
"719",134,197,2001
"720",134,349,2001
