"","from","to","year"
"1",1,595,2001
"2",2,290,2001
"3",2,319,2001
"4",2,596,2001
"5",3,597,2001
"6",4,201,2001
"7",5,167,2001
"8",5,291,2001
"9",5,336,2001
"10",5,598,2001
"11",6,139,2001
"12",6,599,2001
"13",7,33,2001
"14",7,148,2001
"15",7,373,2001
"16",8,327,2001
"17",8,600,2001
"18",9,601,2001
"19",10,27,2001
"20",10,362,2001
"21",10,602,2001
"22",11,475,2001
"23",11,492,2001
"24",11,522,2001
"25",11,603,2001
"26",12,604,2001
"27",13,126,2001
"28",13,268,2001
"29",13,367,2001
"30",13,479,2001
"31",13,605,2001
"32",14,40,2001
"33",14,145,2001
"34",14,312,2001
"35",14,606,2001
"36",15,20,2001
"37",15,607,2001
"38",16,543,2001
"39",17,168,2001
"40",17,608,2001
"41",18,109,2001
"42",18,474,2001
"43",18,609,2001
"44",19,610,2001
"45",19,611,2001
"46",19,612,2001
"47",20,607,2001
"48",21,613,2001
"49",22,572,2001
"50",22,588,2001
"51",23,368,2001
"52",23,505,2001
"53",24,614,2001
"54",25,299,2001
"55",25,615,2001
"56",26,123,2001
"57",26,129,2001
"58",26,616,2001
"59",26,617,2001
"60",27,362,2001
"61",27,602,2001
"62",27,618,2001
"63",28,619,2001
"64",29,399,2001
"65",29,561,2001
"66",29,620,2001
"67",30,378,2001
"68",30,489,2001
"69",30,509,2001
"70",31,550,2001
"71",32,444,2001
"72",33,148,2001
"73",33,373,2001
"74",34,209,2001
"75",34,342,2001
"76",34,418,2001
"77",35,619,2001
"78",36,621,2001
"79",37,543,2001
"80",38,539,2001
"81",38,622,2001
"82",39,141,2001
"83",39,623,2001
"84",40,145,2001
"85",40,312,2001
"86",40,606,2001
"87",41,624,2001
"88",42,301,2001
"89",42,625,2001
"90",43,387,2001
"91",43,423,2001
"92",43,626,2001
"93",44,65,2001
"94",44,627,2001
"95",45,253,2001
"96",45,628,2001
"97",46,74,2001
"98",46,629,2001
"99",47,178,2001
"100",47,587,2001
"101",47,630,2001
"102",48,68,2001
"103",48,286,2001
"104",48,403,2001
"105",48,538,2001
"106",48,631,2001
"107",49,602,2001
"108",50,84,2001
"109",50,632,2001
"110",50,633,2001
"111",50,634,2001
"112",50,635,2001
"113",51,207,2001
"114",51,636,2001
"115",52,493,2001
"116",52,637,2001
"117",53,638,2001
"118",54,639,2001
"119",55,640,2001
"120",56,641,2001
"121",57,642,2001
"122",58,142,2001
"123",58,173,2001
"124",58,643,2001
"125",59,98,2001
"126",59,644,2001
"127",60,454,2001
"128",60,501,2001
"129",60,645,2001
"130",61,263,2001
"131",61,646,2001
"132",62,69,2001
"133",63,517,2001
"134",63,647,2001
"135",64,195,2001
"136",64,648,2001
"137",65,627,2001
"138",66,325,2001
"139",66,406,2001
"140",66,569,2001
"141",66,649,2001
"142",67,202,2001
"143",67,336,2001
"144",67,650,2001
"145",68,538,2001
"146",69,651,2001
"147",69,652,2001
"148",70,398,2001
"149",70,443,2001
"150",70,653,2001
"151",71,344,2001
"152",71,654,2001
"153",72,129,2001
"154",72,655,2001
"155",73,408,2001
"156",73,626,2001
"157",74,629,2001
"158",74,534,2001
"159",74,656,2001
"160",75,360,2001
"161",75,657,2001
"162",75,643,2001
"163",76,180,2001
"164",77,658,2001
"165",78,532,2001
"166",79,336,2001
"167",79,659,2001
"168",80,452,2001
"169",80,466,2001
"170",81,100,2001
"171",81,242,2001
"172",81,302,2001
"173",81,615,2001
"174",82,660,2001
"175",83,271,2001
"176",83,412,2001
"177",83,470,2001
"178",83,661,2001
"179",84,632,2001
"180",84,633,2001
"181",84,634,2001
"182",84,635,2001
"183",85,249,2001
"184",85,662,2001
"185",86,163,2001
"186",86,603,2001
"187",87,205,2001
"188",87,366,2001
"189",88,373,2001
"190",88,377,2001
"191",88,663,2001
"192",89,278,2001
"193",89,664,2001
"194",90,665,2001
"195",91,175,2001
"196",91,291,2001
"197",91,666,2001
"198",92,543,2001
"199",92,667,2001
"200",93,291,2001
"201",93,317,2001
"202",94,167,2001
"203",94,291,2001
"204",94,668,2001
"205",95,394,2001
"206",95,669,2001
"207",96,195,2001
"208",97,185,2001
"209",97,450,2001
"210",97,670,2001
"211",97,671,2001
"212",98,644,2001
"213",99,167,2001
"214",99,293,2001
"215",99,668,2001
"216",100,242,2001
"217",100,302,2001
"218",100,615,2001
"219",101,175,2001
"220",101,278,2001
"221",101,492,2001
"222",101,672,2001
"223",102,194,2001
"224",102,223,2001
"225",102,673,2001
"226",103,418,2001
"227",104,520,2001
"228",104,674,2001
"229",105,189,2001
"230",105,577,2001
"231",106,420,2001
"232",106,620,2001
"233",107,229,2001
"234",107,274,2001
"235",108,388,2001
"236",108,397,2001
"237",108,494,2001
"238",108,675,2001
"239",109,474,2001
"240",109,609,2001
"241",110,413,2001
"242",110,676,2001
"243",111,274,2001
"244",111,677,2001
"245",112,526,2001
"246",112,678,2001
"247",113,294,2001
"248",113,679,2001
"249",114,261,2001
"250",114,398,2001
"251",114,680,2001
"252",115,207,2001
"253",115,681,2001
"254",116,584,2001
"255",116,682,2001
"256",117,138,2001
"257",118,466,2001
"258",118,683,2001
"259",119,156,2001
"260",119,642,2001
"261",120,351,2001
"262",120,461,2001
"263",120,467,2001
"264",120,684,2001
"265",121,464,2001
"266",121,544,2001
"267",122,685,2001
"268",123,129,2001
"269",123,617,2001
"270",124,169,2001
"271",124,344,2001
"272",125,510,2001
"273",125,686,2001
"274",126,268,2001
"275",126,367,2001
"276",126,479,2001
"277",126,605,2001
"278",127,240,2001
"279",127,687,2001
"280",127,688,2001
"281",127,689,2001
"282",128,473,2001
"283",128,515,2001
"284",128,690,2001
"285",129,160,2001
"286",129,617,2001
"287",129,655,2001
"288",130,429,2001
"289",131,546,2001
"290",131,691,2001
"291",132,692,2001
"292",133,693,2001
"293",134,228,2001
"294",134,365,2001
"295",134,694,2001
"296",135,141,2001
"297",136,695,2001
"298",137,696,2001
"299",138,243,2001
"300",138,273,2001
"301",138,279,2001
"302",138,697,2001
"303",138,324,2001
"304",138,359,2001
"305",138,438,2001
"306",138,698,2001
"307",138,555,2001
"308",138,699,2001
"309",138,700,2001
"310",139,599,2001
"311",140,318,2001
"312",140,381,2001
"313",140,701,2001
"314",141,623,2001
"315",142,173,2001
"316",142,414,2001
"317",142,643,2001
"318",142,702,2001
"319",143,281,2001
"320",143,297,2001
"321",144,252,2001
"322",144,341,2001
"323",144,439,2001
"324",144,703,2001
"325",145,312,2001
"326",145,606,2001
"327",146,151,2001
"328",146,263,2001
"329",146,308,2001
"330",146,462,2001
"331",146,704,2001
"332",146,705,2001
"333",147,150,2001
"334",147,231,2001
"335",147,577,2001
"336",148,373,2001
"337",149,219,2001
"338",149,548,2001
"339",149,575,2001
"340",149,706,2001
"341",150,231,2001
"342",150,577,2001
"343",151,263,2001
"344",151,462,2001
"345",152,463,2001
"346",153,445,2001
"347",153,707,2001
"348",154,199,2001
"349",154,708,2001
"350",155,709,2001
"351",156,642,2001
"352",157,179,2001
"353",157,571,2001
"354",158,257,2001
"355",158,693,2001
"356",159,285,2001
"357",159,710,2001
"358",160,655,2001
"359",161,395,2001
"360",161,711,2001
"361",162,712,2001
"362",163,603,2001
"363",164,363,2001
"364",164,713,2001
"365",165,384,2001
"366",165,714,2001
"367",166,478,2001
"368",166,531,2001
"369",166,715,2001
"370",167,291,2001
"371",167,293,2001
"372",167,317,2001
"373",167,336,2001
"374",167,668,2001
"375",167,514,2001
"376",167,598,2001
"377",168,608,2001
"378",169,344,2001
"379",170,716,2001
"380",171,519,2001
"381",171,533,2001
"382",171,717,2001
"383",172,718,2001
"384",172,719,2001
"385",173,414,2001
"386",173,643,2001
"387",173,702,2001
"388",174,514,2001
"389",174,720,2001
"390",175,229,2001
"391",175,274,2001
"392",175,291,2001
"393",175,492,2001
"394",175,535,2001
"395",175,666,2001
"396",175,672,2001
"397",176,421,2001
"398",176,428,2001
"399",176,476,2001
"400",176,491,2001
"401",176,721,2001
"402",177,187,2001
"403",177,269,2001
"404",177,722,2001
"405",177,723,2001
"406",178,587,2001
"407",178,630,2001
"408",179,567,2001
"409",179,571,2001
"410",180,724,2001
"411",180,725,2001
"412",180,726,2001
"413",181,276,2001
"414",181,338,2001
"415",181,461,2001
"416",182,727,2001
"417",183,328,2001
"418",183,418,2001
"419",183,459,2001
"420",183,559,2001
"421",183,728,2001
"422",184,729,2001
"423",185,670,2001
"424",186,730,2001
"425",186,731,2001
"426",186,732,2001
"427",187,269,2001
"428",187,723,2001
"429",188,297,2001
"430",189,577,2001
"431",190,733,2001
"432",191,588,2001
"433",192,481,2001
"434",192,484,2001
"435",192,507,2001
"436",192,509,2001
"437",192,734,2001
"438",192,735,2001
"439",193,246,2001
"440",193,461,2001
"441",193,736,2001
"442",194,223,2001
"443",194,673,2001
"444",195,737,2001
"445",195,648,2001
"446",195,738,2001
"447",196,335,2001
"448",197,416,2001
"449",197,739,2001
"450",198,280,2001
"451",198,387,2001
"452",198,589,2001
"453",198,592,2001
"454",198,740,2001
"455",199,708,2001
"456",200,482,2001
"457",200,741,2001
"458",201,508,2001
"459",201,742,2001
"460",202,336,2001
"461",202,650,2001
"462",202,743,2001
"463",202,744,2001
"464",203,213,2001
"465",204,400,2001
"466",205,221,2001
"467",205,366,2001
"468",205,544,2001
"469",206,745,2001
"470",207,681,2001
"471",207,636,2001
"472",208,333,2001
"473",208,746,2001
"474",208,747,2001
"475",209,418,2001
"476",210,248,2001
"477",210,577,2001
"478",210,748,2001
"479",211,749,2001
"480",212,444,2001
"481",212,750,2001
"482",213,547,2001
"483",213,751,2001
"484",214,345,2001
"485",215,586,2001
"486",215,590,2001
"487",215,752,2001
"488",216,392,2001
"489",216,463,2001
"490",217,753,2001
"491",218,437,2001
"492",218,754,2001
"493",219,548,2001
"494",219,575,2001
"495",219,706,2001
"496",220,321,2001
"497",220,343,2001
"498",220,755,2001
"499",221,366,2001
"500",221,544,2001
"501",222,756,2001
"502",223,673,2001
"503",224,418,2001
"504",224,757,2001
"505",225,758,2001
"506",226,529,2001
"507",227,759,2001
"508",228,365,2001
"509",228,694,2001
"510",229,274,2001
"511",229,535,2001
"512",230,374,2001
"513",230,760,2001
"514",231,577,2001
"515",232,761,2001
"516",233,401,2001
"517",233,762,2001
"518",234,763,2001
"519",235,310,2001
"520",235,415,2001
"521",235,764,2001
"522",236,765,2001
"523",237,292,2001
"524",237,309,2001
"525",237,409,2001
"526",237,666,2001
"527",238,499,2001
"528",238,766,2001
"529",239,329,2001
"530",239,767,2001
"531",240,687,2001
"532",240,688,2001
"533",240,689,2001
"534",241,442,2001
"535",241,768,2001
"536",242,302,2001
"537",242,615,2001
"538",243,555,2001
"539",244,523,2001
"540",244,769,2001
"541",245,436,2001
"542",245,448,2001
"543",245,770,2001
"544",246,461,2001
"545",246,736,2001
"546",247,463,2001
"547",248,577,2001
"548",248,748,2001
"549",249,662,2001
"550",250,771,2001
"551",251,300,2001
"552",251,383,2001
