"","from","to"
"1","H Avila-Munoz","A Cleary"
"2","E Heit","A Cleary"
"3","E Heit","H Avila-Munoz"
"4","C Hoadley","A Cleary"
"5","C Hoadley","H Avila-Munoz"
"6","C Hoadley","E Heit"
"7","L Namy","A Cleary"
"8","L Namy","H Avila-Munoz"
"9","L Namy","E Heit"
"10","L Namy","C Hoadley"
"11","A Ishai","A Cleary"
"12","A Ishai","H Avila-Munoz"
"13","A Ishai","E Heit"
"14","A Ishai","C Hoadley"
"15","A Ishai","L Namy"
"16","B Tuller","A Cleary"
"17","B Tuller","H Avila-Munoz"
"18","B Tuller","E Heit"
"19","B Tuller","C Hoadley"
"20","B Tuller","L Namy"
"21","B Tuller","A Ishai"
"22","J Donlon","A Cleary"
"23","J Donlon","H Avila-Munoz"
"24","J Donlon","E Heit"
"25","J Donlon","C Hoadley"
"26","J Donlon","L Namy"
"27","J Donlon","A Ishai"
"28","J Donlon","B Tuller"
"29","A Tang","A Cleary"
"30","A Tang","H Avila-Munoz"
"31","A Tang","E Heit"
"32","A Tang","C Hoadley"
"33","A Tang","L Namy"
"34","A Tang","A Ishai"
"35","A Tang","B Tuller"
"36","A Tang","J Donlon"
"37","Y Zhao","T Gao"
"38","L Yu","T Gao"
"39","L Yu","Y Zhao"
"40","J Tenenbaum","J Hartshorne"
"41","B Turner","A Heathcote"
"42","S Brown","A Heathcote"
"43","S Brown","B Turner"
"44","M Pitt","J Myung"
"45","M Speekenbrink","J Myung"
"46","M Speekenbrink","M Pitt"
"47","R Dale","M Coco"
"48","J Leeuw","J Leeuw"
"49","J Kruschke","J Kruschke"
"50","J Yearsley","J Trueblood"
"51","Z Wang","J Trueblood"
"52","Z Wang","J Yearsley"
"53","J Busemeyer","J Trueblood"
"54","J Busemeyer","J Yearsley"
"55","J Busemeyer","Z Wang"
"56","P Kvam","J Trueblood"
"57","P Kvam","J Yearsley"
"58","P Kvam","Z Wang"
"59","P Kvam","J Busemeyer"
"60","P Bruza","J Trueblood"
"61","P Bruza","J Yearsley"
"62","P Bruza","Z Wang"
"63","P Bruza","J Busemeyer"
"64","P Bruza","P Kvam"
"65","C Kalish","M Alibali"
"66","T Rogers","M Alibali"
"67","T Rogers","C Kalish"
"68","C Massey","M Alibali"
"69","C Massey","C Kalish"
"70","C Massey","T Rogers"
"71","P Kellman","M Alibali"
"72","P Kellman","C Kalish"
"73","P Kellman","T Rogers"
"74","P Kellman","C Massey"
"75","V Sloutsky","M Alibali"
"76","V Sloutsky","C Kalish"
"77","V Sloutsky","T Rogers"
"78","V Sloutsky","C Massey"
"79","V Sloutsky","P Kellman"
"80","J McClelland","M Alibali"
"81","J McClelland","C Kalish"
"82","J McClelland","T Rogers"
"83","J McClelland","C Massey"
"84","J McClelland","P Kellman"
"85","J McClelland","V Sloutsky"
"86","K Mickey","M Alibali"
"87","K Mickey","C Kalish"
"88","K Mickey","T Rogers"
"89","K Mickey","C Massey"
"90","K Mickey","P Kellman"
"91","K Mickey","V Sloutsky"
"92","K Mickey","J McClelland"
"93","A Bender","S Beller"
"94","J Bohnemeyer","S Beller"
"95","J Bohnemeyer","A Bender"
"96","A Rothe-Wulf","S Beller"
"97","A Rothe-Wulf","A Bender"
"98","A Rothe-Wulf","J Bohnemeyer"
"99","Y Hagmayer","S Beller"
"100","Y Hagmayer","A Bender"
"101","Y Hagmayer","J Bohnemeyer"
"102","Y Hagmayer","A Rothe-Wulf"
"103","R Astuti","S Beller"
"104","R Astuti","A Bender"
"105","R Astuti","J Bohnemeyer"
"106","R Astuti","A Rothe-Wulf"
"107","R Astuti","Y Hagmayer"
"108","W Gray","K Gluck"
"109","M Lovett","K Gluck"
"110","M Lovett","W Gray"
"111","A Markman","K Gluck"
"112","A Markman","W Gray"
"113","A Markman","M Lovett"
"114","J Spohrer","K Gluck"
"115","J Spohrer","W Gray"
"116","J Spohrer","M Lovett"
"117","J Spohrer","A Markman"
"118","M Ramscar","B Love"
"119","T Griffiths","B Love"
"120","T Griffiths","M Ramscar"
"121","M Jones","B Love"
"122","M Jones","M Ramscar"
"123","M Jones","T Griffiths"
"124","M Goldwater","B Pajak"
"125","D Gentner","B Pajak"
"126","D Gentner","M Goldwater"
"127","A Goldberg","B Pajak"
"128","A Goldberg","M Goldwater"
"129","A Goldberg","D Gentner"
"130","R Shao","B Pajak"
"131","R Shao","M Goldwater"
"132","R Shao","D Gentner"
"133","R Shao","A Goldberg"
"134","J Knobe","J Phillips"
"135","A Shtulman","J Phillips"
"136","A Shtulman","J Knobe"
"137","C Kalish","J Phillips"
"138","C Kalish","J Knobe"
"139","C Kalish","A Shtulman"
"140","A Riggs","J Phillips"
"141","A Riggs","J Knobe"
"142","A Riggs","A Shtulman"
"143","A Riggs","C Kalish"
"144","C Hitchcock","J Phillips"
"145","C Hitchcock","J Knobe"
"146","C Hitchcock","A Shtulman"
"147","C Hitchcock","C Kalish"
"148","C Hitchcock","A Riggs"
"149","P Knoeferle","D Abashidze"
"150","M Carminati","D Abashidze"
"151","M Carminati","P Knoeferle"
"152","K Abe","K Abe"
"153","C Cancino","K Agres"
"154","M Grachten","K Agres"
"155","M Grachten","C Cancino"
"156","S Lattner","K Agres"
"157","S Lattner","C Cancino"
"158","S Lattner","M Grachten"
"159","J Santiago","R Aguirre"
"160","A Yu","S Ahmad"
"161","N Nozari","N Akhavan"
"162","T Goksun","N Akhavan"
"163","T Goksun","N Nozari"
"164","R Foushee","S Al-Mughairy"
"165","D Barner","S Al-Mughairy"
"166","D Barner","R Foushee"
"167","M Srinivasan","S Al-Mughairy"
"168","M Srinivasan","R Foushee"
"169","M Srinivasan","D Barner"
"170","H Schultheis","R Albrecht"
"171","W Fu","R Albrecht"
"172","W Fu","H Schultheis"
"173","D McNamara","L Allen"
"174","M McCrudden","L Allen"
"175","M McCrudden","D McNamara"
"176","J Jara-Ettinger","K Allen"
"177","T Gerstenberg","K Allen"
"178","T Gerstenberg","J Jara-Ettinger"
"179","M Kleiman-Weiner","K Allen"
"180","M Kleiman-Weiner","J Jara-Ettinger"
"181","M Kleiman-Weiner","T Gerstenberg"
"182","J Tenenbaum","K Allen"
"183","J Tenenbaum","J Jara-Ettinger"
"184","J Tenenbaum","T Gerstenberg"
"185","J Tenenbaum","M Kleiman-Weiner"
"186","J Cantlon","S Alonso-Diaz"
"187","S Piantadosi","S Alonso-Diaz"
"188","S Piantadosi","J Cantlon"
"189","H Kloos","J Amaral"
"190","V Romero","J Amaral"
"191","V Romero","H Kloos"
"192","M Richardson","J Amaral"
"193","M Richardson","H Kloos"
"194","M Richardson","V Romero"
"195","Z Savcheva","E Andonova"
"196","G Todorova","E Andonova"
"197","G Todorova","Z Savcheva"
"198","R Verbrugge","B Arslan"
"199","N Taatgen","B Arslan"
"200","N Taatgen","R Verbrugge"
"201","B Hollebrandse","B Arslan"
"202","B Hollebrandse","R Verbrugge"
"203","B Hollebrandse","N Taatgen"
"204","J Queiroz","P Ata"
"205","P Vogt","S Aussems"
"206","M Chu","S Aussems"
"207","S Kita","S Aussems"
"208","S Kita","M Chu"
"209","M Zaanen","S Aussems"
"210","M Zaanen","M Chu"
"211","M Zaanen","S Kita"
"212","N Vasilyeva","S Ayala"
"213","A Johnson","R Azevedo"
"214","C Burkett","R Azevedo"
"215","C Burkett","A Johnson"
"216","E Krahmer","A Baltaretu"
"217","A Maes","A Baltaretu"
"218","A Maes","E Krahmer"
"219","M Blair","J Barnes"
"220","P Tupper","J Barnes"
"221","P Tupper","M Blair"
"222","R Walshe","J Barnes"
"223","R Walshe","M Blair"
"224","R Walshe","P Tupper"
"225","E Pothos","A Barque-Duran"
"226","J Yearsley","A Barque-Duran"
"227","J Yearsley","E Pothos"
"228","J Hampton","A Barque-Duran"
"229","J Hampton","E Pothos"
"230","J Hampton","J Yearsley"
"231","C Schunn","B Barstow"
"232","L Fazio","B Barstow"
"233","L Fazio","C Schunn"
"234","M Falakmasir","B Barstow"
"235","M Falakmasir","C Schunn"
"236","M Falakmasir","L Fazio"
"237","K Ashley","B Barstow"
"238","K Ashley","C Schunn"
"239","K Ashley","L Fazio"
"240","K Ashley","M Falakmasir"
"241","D Hawthorne","I Bass"
"242","N Goodman","I Bass"
"243","N Goodman","D Hawthorne"
"244","H Gweon","I Bass"
"245","H Gweon","D Hawthorne"
"246","H Gweon","N Goodman"
"247","P Battaglia","C Bates"
"248","I Yildirim","C Bates"
"249","I Yildirim","P Battaglia"
"250","J Tenenbaum","C Bates"
"251","J Tenenbaum","P Battaglia"
"252","J Tenenbaum","I Yildirim"
"253","P Baumann","P Baumann"
"254","J Knobe","A Bear"
"255","A Aguilar","N Beckage"
"256","E Colunga","N Beckage"
"257","E Colunga","A Aguilar"
"258","M Mozer","N Beckage"
"260","E Colunga","M Mozer"
"261","S Stevenson","B Beekhuizen"
"262","L Richland","K Begolli"
"263","S Jaeggi","K Begolli"
"264","S Jaeggi","L Richland"
"265","S Khemlani","P Bello"
"266","L Assif","G Ben-Yosef"
"267","D Harari","G Ben-Yosef"
"268","D Harari","L Assif"
"269","S Ullman","G Ben-Yosef"
"270","S Ullman","L Assif"
"271","S Ullman","D Harari"
"272","N Goodman","E Bennett"
"273","S Bhatia","S Bhatia"
"274","C Eliasmith","P Blouw"
"275","J Garten","R Boghrati"
"276","A Litvinova","R Boghrati"
"277","A Litvinova","J Garten"
"278","M Dehghani","R Boghrati"
"279","M Dehghani","J Garten"
"280","M Dehghani","A Litvinova"
"281","J Landrigan","M Botezatu"
"282","Q Chen","M Botezatu"
"283","Q Chen","J Landrigan"
"284","D Mirman","M Botezatu"
"285","D Mirman","J Landrigan"
"286","D Mirman","Q Chen"
"287","D Yurovsky","M Braginsky"
"288","V Marchman","M Braginsky"
"289","V Marchman","D Yurovsky"
"290","M Frank","M Braginsky"
"291","M Frank","D Yurovsky"
"292","M Frank","V Marchman"
"293","P Dayan","N Bramley"
"294","D Lagnado","N Bramley"
"295","D Lagnado","P Dayan"
"296","M Oaksford","C Brand"
"297","T Brauner","T Brauner"
"298","P Bello","W Bridewell"
"299","T Brochhagen","T Brochhagen"
"300","V Reyna","D Broniatowski"
"301","T Cakar","M Cakir"
"302","Y Girisken","M Cakir"
"303","Y Girisken","T Cakar"
"304","J Xu","A Carstensen"
"305","C Smith","A Carstensen"
"306","C Smith","J Xu"
"307","T Regier","A Carstensen"
"308","T Regier","J Xu"
"309","T Regier","C Smith"
"310","S Guha","A Carstensen"
"311","S Guha","J Xu"
"312","S Guha","C Smith"
"313","S Guha","T Regier"
"314","D Braithwaite","P Carvalho"
"315","J Leeuw","P Carvalho"
"316","J Leeuw","D Braithwaite"
"317","B Motz","P Carvalho"
"318","B Motz","D Braithwaite"
"319","B Motz","J Leeuw"
"320","R Goldstone","P Carvalho"
"321","R Goldstone","D Braithwaite"
"322","R Goldstone","J Leeuw"
"323","R Goldstone","B Motz"
"324","C Vos","M Casillas"
"325","O Crasborn","M Casillas"
"326","O Crasborn","C Vos"
"327","S Levinson","M Casillas"
"328","S Levinson","C Vos"
"329","S Levinson","O Crasborn"
"330","A Chan","C Chan"
"331","T Lee","C Chan"
"332","T Lee","A Chan"
"333","J Hsiao","C Chan"
"334","J Hsiao","A Chan"
"335","J Hsiao","T Lee"
"336","G Date","S Chandrasekharan"
"337","P Pande","S Chandrasekharan"
"338","P Pande","G Date"
"339","J Rahaman","S Chandrasekharan"
"340","J Rahaman","G Date"
"341","J Rahaman","P Pande"
"342","R Shaikh","S Chandrasekharan"
"343","R Shaikh","G Date"
"344","R Shaikh","P Pande"
"345","R Shaikh","J Rahaman"
"346","A Srivastava","S Chandrasekharan"
"347","A Srivastava","G Date"
"348","A Srivastava","P Pande"
"349","A Srivastava","J Rahaman"
"350","A Srivastava","R Shaikh"
"351","N Srivastava","S Chandrasekharan"
"352","N Srivastava","G Date"
"353","N Srivastava","P Pande"
"354","N Srivastava","J Rahaman"
"355","N Srivastava","R Shaikh"
"356","N Srivastava","A Srivastava"
"357","H Agrawal","S Chandrasekharan"
"358","H Agrawal","G Date"
"359","H Agrawal","P Pande"
"360","H Agrawal","J Rahaman"
"361","H Agrawal","R Shaikh"
"362","H Agrawal","A Srivastava"
"363","H Agrawal","N Srivastava"
"364","N Gauvrit","M Chekaf"
"365","A Guida","M Chekaf"
"366","A Guida","N Gauvrit"
