"","x"
"1","A Cleary"
"2","H Avila-Munoz"
"3","E Heit"
"4","C Hoadley"
"5","L Namy"
"6","A Ishai"
"7","B Tuller"
"8","T Gao"
"9","Y Zhao"
"10","L Yu"
"11","J Hartshorne"
"12","J Tenenbaum"
"13","A Heathcote"
"14","B Turner"
"15","S Brown"
"16","J Myung"
"17","M Pitt"
"18","M Speekenbrink"
"19","M Coco"
"20","R Dale"
"21","J Leeuw"
"22","J Kruschke"
"23","J Trueblood"
"24","J Yearsley"
"25","Z Wang"
"26","J Busemeyer"
"27","M Alibali"
"28","C Kalish"
"29","T Rogers"
"30","C Massey"
"31","P Kellman"
"32","V Sloutsky"
"33","J McClelland"
"34","K Mickey"
"35","S Beller"
"36","A Bender"
"37","J Bohnemeyer"
"38","A Rothe-Wulf"
"39","Y Hagmayer"
"40","R Astuti"
"41","K Gluck"
"42","W Gray"
"43","M Lovett"
"44","A Markman"
"45","J Spohrer"
"46","B Love"
"47","M Ramscar"
"48","T Griffiths"
"49","M Jones"
"50","B Pajak"
"51","M Goldwater"
"52","D Gentner"
"53","A Goldberg"
"54","R Shao"
"55","J Phillips"
"56","J Knobe"
"57","A Shtulman"
"58","A Riggs"
"59","C Hitchcock"
"60","D Abashidze"
"61","P Knoeferle"
"62","M Carminati"
"63","K Abe"
"64","K Agres"
"65","C Cancino"
"66","M Grachten"
"67","S Lattner"
"68","R Aguirre"
"69","J Santiago"
"70","S Ahmad"
"71","A Yu"
"72","N Akhavan"
"73","N Nozari"
"74","T Goksun"
"75","S Al-Mughairy"
"76","R Foushee"
"77","D Barner"
"78","M Srinivasan"
"79","R Albrecht"
"80","H Schultheis"
"81","W Fu"
"82","L Allen"
"83","D McNamara"
"84","M McCrudden"
"85","K Allen"
"86","J Jara-Ettinger"
"87","T Gerstenberg"
"88","M Kleiman-Weiner"
"89","S Alonso-Diaz"
"90","J Cantlon"
"91","S Piantadosi"
"92","J Amaral"
"93","H Kloos"
"94","V Romero"
"95","M Richardson"
"96","E Andonova"
"97","Z Savcheva"
"98","G Todorova"
"99","B Arslan"
"100","R Verbrugge"
"101","N Taatgen"
"102","B Hollebrandse"
"103","P Ata"
"104","J Queiroz"
"105","S Aussems"
"106","P Vogt"
"107","M Chu"
"108","S Kita"
"109","M Zaanen"
"110","S Ayala"
"111","N Vasilyeva"
"112","R Azevedo"
"113","A Johnson"
"114","C Burkett"
"115","A Baltaretu"
"116","E Krahmer"
"117","A Maes"
"118","J Barnes"
"119","M Blair"
"120","P Tupper"
"121","R Walshe"
"122","A Barque-Duran"
