"","from","to"
"1","J Tenenbaum","J Tenenbaum"
"2","S Brown","A Heathcote"
"3","M Speekenbrink","M Speekenbrink"
"4","R Dale","R Dale"
"5","J Leeuw","J Leeuw"
"6","J Busemeyer","J Trueblood"
"7","T Rogers","M Alibali"
"8","V Sloutsky","M Alibali"
"9","V Sloutsky","T Rogers"
"10","J McClelland","M Alibali"
"11","J McClelland","T Rogers"
"12","J McClelland","V Sloutsky"
"13","A Bender","S Beller"
"14","W Gray","K Gluck"
"15","A Markman","K Gluck"
"16","A Markman","W Gray"
"17","M Ramscar","B Love"
"18","T Griffiths","B Love"
"19","T Griffiths","M Ramscar"
"20","M Jones","B Love"
"21","M Jones","M Ramscar"
"22","M Jones","T Griffiths"
"23","D Gentner","M Goldwater"
"24","A Shtulman","A Shtulman"
"25","P Knoeferle","P Knoeferle"
"26","J Santiago","J Santiago"
"27","A Yu","A Yu"
"28","M Srinivasan","D Barner"
"29","W Fu","W Fu"
"30","D McNamara","D McNamara"
"31","T Gerstenberg","J Jara-Ettinger"
"32","M Kleiman-Weiner","J Jara-Ettinger"
"33","M Kleiman-Weiner","T Gerstenberg"
"34","J Tenenbaum","J Jara-Ettinger"
"35","J Tenenbaum","T Gerstenberg"
"36","J Tenenbaum","M Kleiman-Weiner"
"37","S Piantadosi","S Piantadosi"
"38","M Richardson","H Kloos"
"39","N Taatgen","R Verbrugge"
"40","S Kita","S Kita"
"41","E Krahmer","E Krahmer"
"42","M Blair","M Blair"
"43","E Pothos","E Pothos"
"44","C Schunn","C Schunn"
"45","H Gweon","N Goodman"
"46","E Colunga","E Colunga"
"47","S Stevenson","S Stevenson"
"48","S Khemlani","P Bello"
"49","N Goodman","N Goodman"
"50","S Bhatia","S Bhatia"
"51","C Eliasmith","C Eliasmith"
"52","M Dehghani","M Dehghani"
"53","M Frank","D Yurovsky"
"54","D Lagnado","N Bramley"
"55","P Bello","P Bello"
"56","T Regier","T Regier"
"57","J Leeuw","P Carvalho"
"58","R Goldstone","P Carvalho"
"59","R Goldstone","J Leeuw"
"60","J Hsiao","J Hsiao"
"61","N Srivastava","N Srivastava"
"62","K Holyoak","H Lu"
"63","T Gureckis","T Gureckis"
"64","N Cohn","N Cohn"
"65","U Hahn","U Hahn"
"66","K Kurtz","K Kurtz"
"67","S Goldin-Meadow","S Goldin-Meadow"
"68","R Shiffrin","G Cox"
"69","J Jordan","J Jordan"
"70","M Lee","M Lee"
"71","A Perfors","S Verheyen"
"72","D Navarro","S Verheyen"
"73","D Navarro","A Perfors"
"74","S Johnson","S Johnson"
"75","R Verbrugge","R Verbrugge"
"76","M Tessler","J Degen"
"77","N Goodman","J Degen"
"78","N Goodman","M Tessler"
"79","K Holyoak","K Holyoak"
"80","M Louwerse","M Louwerse"
"81","A Gopnik","C Lucas"
"82","M Goldwater","M Goldwater"
"83","P Shafto","E Bonawitz"
"84","M Richardson","M Richardson"
"85","B Malt","B Malt"
"86","T Jaeger","T Jaeger"
"87","P Thibodeau","S Flusberg"
"88","C Yu","C Yu"
"89","F Keller","F Keller"
"90","G Cottrell","G Cottrell"
"91","F Gobet","F Gobet"
"92","K Tylen","R Fusaroli"
"93","L Gabora","L Gabora"
"94","M Staudte","M Staudte"
"95","M Knauff","M Knauff"
"96","J Tenenbaum","S Gershman"
"110","N Goodman","T Gerstenberg"
"210","D Lagnado","T Gerstenberg"
"310","D Lagnado","N Goodman"
"510","J Tenenbaum","N Goodman"
"610","J Tenenbaum","D Lagnado"
"111","T Rogers","T Rogers"
"112","T Lombrozo","T Lombrozo"
"113","A Fisher","K Godwin"
"114","J Thibaut","J Thibaut"
"115","K Coventry","K Coventry"
"116","J Trueblood","J Trueblood"
"117","F Vallee-Tourangeau","F Vallee-Tourangeau"
"118","H Gweon","H Gweon"
"119","T Griffiths","K Smith"
"211","E Vul","K Smith"
"311","E Vul","T Griffiths"
"120","T Shipley","K Coventry"
"121","B Newell","B Hayes"
"122","L Boroditsky","L Boroditsky"
"123","D Navarro","A Hendrickson"
"124","G Trafton","G Trafton"
"125","J Austerweil","F Cushman"
"126","M Frank","M Frank"
"127","T Hills","P Healey"
"128","D Gentner","D Gentner"
"129","T Griffiths","J Hu"
"212","F Xu","J Hu"
"312","F Xu","T Griffiths"
"213","L Schulz","J Jara-Ettinger"
"313","L Schulz","J Tenenbaum"
"130","J Spencer","J Spencer"
"131","F Keil","S Johnson"
"132","P Johnson-Laird","S Khemlani"
"133","J Opfer","J Opfer"
"214","S Levine","M Kleiman-Weiner"
"314","S Levine","T Gerstenberg"
"611","J Tenenbaum","S Levine"
