"","x"
"1","J Tenenbaum"
"2","A Heathcote"
"3","S Brown"
"4","M Speekenbrink"
"5","R Dale"
"6","J Leeuw"
"7","J Trueblood"
"8","J Busemeyer"
"9","M Alibali"
"10","T Rogers"
"11","V Sloutsky"
"12","J McClelland"
"13","S Beller"
"14","A Bender"
"15","K Gluck"
"16","W Gray"
"17","A Markman"
"18","B Love"
"19","M Ramscar"
"20","T Griffiths"
"21","M Jones"
"22","M Goldwater"
"23","D Gentner"
"24","A Shtulman"
"25","P Knoeferle"
"26","J Santiago"
"27","A Yu"
"28","D Barner"
"29","M Srinivasan"
"30","W Fu"
"31","D McNamara"
"32","J Jara-Ettinger"
"33","T Gerstenberg"
"34","M Kleiman-Weiner"
"35","S Piantadosi"
"36","H Kloos"
"37","M Richardson"
"38","R Verbrugge"
"39","N Taatgen"
"40","S Kita"
"41","E Krahmer"
"42","M Blair"
"43","E Pothos"
"44","C Schunn"
"45","N Goodman"
"46","H Gweon"
"47","E Colunga"
"48","S Stevenson"
"49","P Bello"
"50","S Khemlani"
"51","S Bhatia"
"52","C Eliasmith"
"53","M Dehghani"
"54","D Yurovsky"
"55","M Frank"
"56","N Bramley"
"57","D Lagnado"
"58","T Regier"
"59","P Carvalho"
"60","R Goldstone"
"61","J Hsiao"
"62","N Srivastava"
"63","H Lu"
"64","K Holyoak"
"65","T Gureckis"
"66","N Cohn"
"67","U Hahn"
"68","K Kurtz"
"69","S Goldin-Meadow"
"70","G Cox"
"71","R Shiffrin"
"72","J Jordan"
"73","M Lee"
"74","S Verheyen"
"75","A Perfors"
"76","D Navarro"
"77","S Johnson"
"78","J Degen"
"79","M Tessler"
"80","M Louwerse"
"81","C Lucas"
"82","A Gopnik"
"83","E Bonawitz"
"84","P Shafto"
"85","B Malt"
"86","T Jaeger"
"87","S Flusberg"
"88","P Thibodeau"
"89","C Yu"
"90","F Keller"
"91","G Cottrell"
"92","F Gobet"
"93","R Fusaroli"
"94","K Tylen"
"95","L Gabora"
"96","M Staudte"
"97","M Knauff"
"98","S Gershman"
"99","T Lombrozo"
"100","K Godwin"
"101","A Fisher"
"102","J Thibaut"
"103","K Coventry"
"104","F Vallee-Tourangeau"
"105","K Smith"
"106","E Vul"
"107","T Shipley"
"108","B Hayes"
"109","B Newell"
"110","L Boroditsky"
"111","A Hendrickson"
"112","G Trafton"
"113","F Cushman"
"114","J Austerweil"
"115","P Healey"
"116","T Hills"
"117","J Hu"
"118","F Xu"
"119","L Schulz"
"120","J Spencer"
"121","F Keil"
"122","P Johnson-Laird"
"123","J Opfer"
"124","S Levine"
"125","J Snedeker"
"126","K Koedinger"
"127","C Gonzalez"
"128","R West"
"129","B Lake"
"130","M Steyvers"
"131","J Lee"
"132","C Sims"
"133","M Lewis"
"134","L Doumas"
"135","M Spivey"
"136","P Hemmer"
"137","A Maehigashi"
"138","K Miwa"
"139","H Terai"
"140","L Magnani"
"141","T Marghetis"
"142","B Bergen"
"143","D Markant"
"144","M Christiansen"
"145","J Kim"
"146","S Chen"
"147","M Tanenhaus"
"148","J Anderson"
"149","R Levy"
"150","K Nakamura"
"151","M Penner-Wilger"
"152","W Goh"
"153","D Landy"
"154","M Pacer"
"155","E Schulz"
"156","A Paxton"
"157","J Roche"
"158","G Lupyan"
"159","S Phillips"
"160","D Noelle"
"161","C Robinson"
"162","B Rottman"
"163","T Matlock"
"164","M Imai"
"165","M Waldmann"
"166","H Yoshida"
"167","R Cooper"
"168","C Kello"
"169","J Zevin"
"170","S Huette"
"171","C Conway"
"172","D Kirsh"
"173","Y Sun"
"174","H Wang"
"175","J Black"
"176","Y Sakamoto"
"177","P Wolff"
"178","M Crocker"
"179","G Storms"
"180","D Vinson"
"181","H Rijn"
"182","M Sydow"
"183","D Richardson"
"184","K Wagner"
"185","A Lim"
"186","S Sinnett"
"187","M Welsh"
"188","Y Wu"
"189","Y Xu"
"190","C Kemp"
"191","I Rooij"
"192","D Abney"
"193","C Sandhofer"
"194","M Hegarty"
"195","M Butz"
"196","K Holmes"
"197","J Chen"
"198","E Risko"
"199","M Dye"
"200","Z Horne"
"201","H Chen"
"202","G Kachergis"
"203","J Marewski"
"204","N Chater"
"205","L Smith"
"206","J Morita"
"207","A Nematzadeh"
"208","S Ohlsson"
"209","W Voorspoels"
"210","A Sanborn"
"211","P Monaghan"
"212","S Dennis"
"213","C Lebiere"
"214","B Tversky"
"215","D Casasanto"
"216","V Marian"
"217","A Fazly"
"218","B Johns"
"219","A Wills"
"220","P Cheng"
"221","B Rehder"
"222","L Rips"
"223","J Williams"
"224","M Franke"
"225","J Corter"
"226","T Shultz"
"227","B Meder"
"228","R Mayrhofer"
"229","W Schaeken"
"230","M Ragni"
"231","L Konieczny"
"232","T Stewart"
"233","T Ullman"
"234","M Swerts"
"235","A Dewald"
"236","S Frank"
"237","C Wu"
"238","S Kirby"
"239","G Vigliocco"
"240","K Forbus"
"241","Y Chang"
"242","J Schoenherr"
"243","B Kokinov"
"244","K Ueda"
"245","A Utsumi"
"246","R Morrison"
"247","L Connell"
"248","K Do"
"249","J Rieskamp"
"250","T Hashimoto"
"251","J Magnuson"
"252","B Matlen"
"253","T Kusumi"
"254","P Gerjets"
"255","C Walker"
"256","A Majid"
"257","T Matsuka"
"258","S Hidaka"
"259","J Zhao"
"260","J Cohen"
"261","C Wilson"
"262","K Plunkett"
"263","A Kingstone"
"264","I McLaren"
"265","R Saxe"
"266","K Scheiter"
