"","label","CM","measure","pct"
"1","J Tenenbaum","degree",94,0.999911621741052
"2","N Goodman","degree",46,0.999823243482103
"3","T Griffiths","degree",45,0.999734865223155
"4","K Smith","degree",39,0.999646486964207
"5","M Frank","degree",38,0.999558108705259
"6","J Hu","degree",38,0.99946973044631
"7","M Richardson","degree",37,0.999381352187362
"8","J Austerweil","degree",37,0.999292973928414
"9","T Gerstenberg","degree",32,0.999204595669465
"10","C Yu","degree",31,0.999116217410517
"11","A Gopnik","degree",30,0.999027839151569
"12","E Schulz","degree",29,0.99893946089262
"13","M Speekenbrink","degree",28,0.998851082633672
"14","J Cohen","degree",28,0.998762704374724
"15","M Jones","degree",27,0.998674326115776
"16","M Ragni","degree",27,0.998585947856827
"17","J Kim","degree",27,0.998497569597879
"18","H Lu","degree",27,0.998409191338931
"19","A Fisher","degree",26,0.998320813079982
"20","H Gweon","degree",26,0.998232434821034
"21","R Fusaroli","degree",26,0.998144056562086
"22","F Keil","degree",26,0.998055678303137
"23","J Hsiao","degree",25,0.997967300044189
"24","R Dale","degree",25,0.997878921785241
"25","L Smith","degree",25,0.997790543526292
"26","P Shafto","degree",25,0.997702165267344
"27","K Tylen","degree",25,0.997613787008396
"28","M Kleiman-Weiner","degree",24,0.997525408749448
"29","P Thibodeau","degree",24,0.997437030490499
"30","C Gonzalez","degree",24,0.997348652231551
"31","S Johnson","degree",23,0.997260273972603
"32","D Gentner","degree",23,0.997171895713654
"33","D Navarro","degree",23,0.997083517454706
"34","I Rooij","degree",22,0.996995139195758
"35","R Goldstone","degree",21,0.99690676093681
"36","K Miwa","degree",21,0.996818382677861
"37","Y Wu","degree",21,0.996730004418913
"38","J Jara-Ettinger","degree",21,0.996641626159965
"39","Y Hsiao","degree",21,0.996553247901016
"40","E Krahmer","degree",21,0.996464869642068
"41","F Xu","degree",21,0.99637649138312
"42","M Butz","degree",21,0.996288113124171
"43","S Khemlani","degree",20,0.996199734865223
"44","H Chen","degree",20,0.996111356606275
"45","J Chen","degree",20,0.996022978347327
"46","D Landy","degree",20,0.995934600088378
"47","P Monaghan","degree",20,0.99584622182943
"48","Y Xu","degree",20,0.995757843570482
"49","S Goldin-Meadow","degree",20,0.995669465311533
"50","T Gureckis","degree",20,0.995581087052585
"51","U Hahn","degree",20,0.995492708793637
"52","R Kallen","degree",20,0.995404330534688
"53","C Kidd","degree",20,0.99531595227574
"54","V Sloutsky","degree",19,0.995227574016792
"55","M Lee","degree",19,0.995139195757844
"56","M Tanenhaus","degree",19,0.995050817498895
"57","M Christiansen","degree",19,0.994962439239947
"58","M Ramscar","degree",18,0.994874060980999
"59","T Meilinger","degree",18,0.99478568272205
"60","J Roche","degree",18,0.994697304463102
"61","T Hills","degree",18,0.994608926204154
"62","M Dehghani","degree",18,0.994520547945206
"63","M Tessler","degree",18,0.994432169686257
"64","E Bonawitz","degree",18,0.994343791427309
"65","S Flusberg","degree",18,0.994255413168361
"66","L Schulz","degree",18,0.994167034909412
"67","H Lee","degree",18,0.994078656650464
"68","T Marghetis","degree",18,0.993990278391516
"69","A Ruggeri","degree",18,0.993901900132567
"70","G Kachergis","degree",17,0.993813521873619
"71","Y Tsai","degree",17,0.993725143614671
"72","S Piantadosi","degree",17,0.993636765355723
