year,title,authorAbbr
2020,Tracing the Emergence of Gendered Language in Childhood,B Prystawski
2020,Tracing the Emergence of Gendered Language in Childhood,E Grant
2020,Tracing the Emergence of Gendered Language in Childhood,A Nematzadeh
2020,Tracing the Emergence of Gendered Language in Childhood,S Lee
2020,Tracing the Emergence of Gendered Language in Childhood,S Stevenson
2020,Tracing the Emergence of Gendered Language in Childhood,Y Xu
2020,Visual Grouping and Pragmatic Constraints in the Generation of Quantified Descriptions,G Briggs
2020,Visual Grouping and Pragmatic Constraints in the Generation of Quantified Descriptions,H Harner
2020,Visual Grouping and Pragmatic Constraints in the Generation of Quantified Descriptions,S Khemlani
2020,Identifying the neural dynamics of category decisions with computational model-based fMRI,J Adema
2020,Identifying the neural dynamics of category decisions with computational model-based fMRI,E Heffernan
2020,Identifying the neural dynamics of category decisions with computational model-based fMRI,M Mack
2020,Self-Other Similarity Modulates the Socially-Triggered Context-Based Prediction Error Effect on Memory,M Vlasceanu
2020,Self-Other Similarity Modulates the Socially-Triggered Context-Based Prediction Error Effect on Memory,M Morais
2020,Self-Other Similarity Modulates the Socially-Triggered Context-Based Prediction Error Effect on Memory,Z Zhao
2020,Self-Other Similarity Modulates the Socially-Triggered Context-Based Prediction Error Effect on Memory,A Bornstein
2020,Self-Other Similarity Modulates the Socially-Triggered Context-Based Prediction Error Effect on Memory,D Tamir
2020,Self-Other Similarity Modulates the Socially-Triggered Context-Based Prediction Error Effect on Memory,K Norman
2020,Self-Other Similarity Modulates the Socially-Triggered Context-Based Prediction Error Effect on Memory,A Coman
2020,Word Aversion and Consumer Behavior,P Thibodeau
2020,Word Aversion and Consumer Behavior,K Christel
2020,A Meta-Analytic Review of Verbal Overshadowing Effect on Insight Problem Solving Using Bayes Factors,S Kiyokawa
2020,A Meta-Analytic Review of Verbal Overshadowing Effect on Insight Problem Solving Using Bayes Factors,Z Dienes
2020,Ontogenesis of social interaction: Review of studies relevant to the fetal social behavior.,I Danilov
2020,Ontogenesis of social interaction: Review of studies relevant to the fetal social behavior.,S Mihailova
2020,"Towards a Complete Model of Reading: Simulating Lexical Decision, Word Naming, and Sentence Reading with Über-Reader",A Veldre
2020,"Towards a Complete Model of Reading: Simulating Lexical Decision, Word Naming, and Sentence Reading with Über-Reader",L Yu
2020,"Towards a Complete Model of Reading: Simulating Lexical Decision, Word Naming, and Sentence Reading with Über-Reader",S Andrews
2020,"Towards a Complete Model of Reading: Simulating Lexical Decision, Word Naming, and Sentence Reading with Über-Reader",E Reichle
2020,Conscious Multi-Modal Perceptual Learning for Grounded Simulation-Based Cognition,S Kugele
2020,Conscious Multi-Modal Perceptual Learning for Grounded Simulation-Based Cognition,S Franklin
2020,Adaptations of Executive Function and Prefrontal Cortex Connectivity Following Exergame Play in 4- to 5-year old Children,C Eng
2020,Adaptations of Executive Function and Prefrontal Cortex Connectivity Following Exergame Play in 4- to 5-year old Children,M Pocsai
2020,Adaptations of Executive Function and Prefrontal Cortex Connectivity Following Exergame Play in 4- to 5-year old Children,F Fishburn
2020,Adaptations of Executive Function and Prefrontal Cortex Connectivity Following Exergame Play in 4- to 5-year old Children,D Calkosz
2020,Adaptations of Executive Function and Prefrontal Cortex Connectivity Following Exergame Play in 4- to 5-year old Children,E Thiessen
2020,Adaptations of Executive Function and Prefrontal Cortex Connectivity Following Exergame Play in 4- to 5-year old Children,A Fisher
2020,Automatic Detection of Cross-language Verbal Deception,P Capuozzo
2020,Automatic Detection of Cross-language Verbal Deception,I Lauriola
2020,Automatic Detection of Cross-language Verbal Deception,C Strapparava
2020,Automatic Detection of Cross-language Verbal Deception,F Aiolli
2020,Automatic Detection of Cross-language Verbal Deception,G Sartori
2020,Covert attention shift by Sequence-space synesthesia (SSS): a cognitive grammar approach,M Dolatabadi
2020,Covert attention shift by Sequence-space synesthesia (SSS): a cognitive grammar approach,M Dowlatabadi
2020,Inherent and Emergent Biases of Vocal Learning Timeframes in Zebra Finches,A Alonso
2020,Take the Middle  Averaging Prior and Evidence as Effective Heuristic in Bayesian Reasoning,K Loibl
2020,Take the Middle  Averaging Prior and Evidence as Effective Heuristic in Bayesian Reasoning,T Leuders
2020,Embodiment and gender interact in alignment to TTS voices,M Cohn
2020,Embodiment and gender interact in alignment to TTS voices,P Jonell
2020,Embodiment and gender interact in alignment to TTS voices,T Kim
2020,Embodiment and gender interact in alignment to TTS voices,J Beskow
2020,Embodiment and gender interact in alignment to TTS voices,G Zellou
2020,Investigating the Role of Verb Frequency in Factive and Manner-of-speaking Islands,S Richter
2020,Investigating the Role of Verb Frequency in Factive and Manner-of-speaking Islands,R Chaves
2020,The Plausible Impossible: Graded Notions of Impossibility Across Cultures,T Gong
2020,The Plausible Impossible: Graded Notions of Impossibility Across Cultures,A Shtulman
2020,Incremental Hypothesis Revision in Causal Reasoning Across Development,R Gelpi
2020,Incremental Hypothesis Revision in Causal Reasoning Across Development,B Prystawski
2020,Incremental Hypothesis Revision in Causal Reasoning Across Development,C Lucas
2020,Incremental Hypothesis Revision in Causal Reasoning Across Development,D Buchsbaum
2020,Effect of interpersonal distance on unintentional posture synchrony,K Mukai
2020,Effect of interpersonal distance on unintentional posture synchrony,M Okano
2020,Effect of interpersonal distance on unintentional posture synchrony,A Yokoyama
2020,Effect of interpersonal distance on unintentional posture synchrony,A Miura
2020,Effect of interpersonal distance on unintentional posture synchrony,K Kudo
2020,When and how do toddlers in rural Western Kenya understand the referential nature of pictures?,R Zhu
2020,When and how do toddlers in rural Western Kenya understand the referential nature of pictures?,H Pitchik
2020,When and how do toddlers in rural Western Kenya understand the referential nature of pictures?,L Fernald
2020,When and how do toddlers in rural Western Kenya understand the referential nature of pictures?,A Gopnik
2020,Bootstrap Hell: Perceptual Racial Biases in a Predictive Processing Framework,Z Neemeh
2020,When me is mine: An embodied origin of psychological ownership?,A De Bortoli Vizioli
2020,When me is mine: An embodied origin of psychological ownership?,A Borghi
2020,When me is mine: An embodied origin of psychological ownership?,L Tummolini
2020,Gendered Robots Can Change Childrens Gender Stereotyping,K Song-Nichols
2020,Gendered Robots Can Change Childrens Gender Stereotyping,A Young
2020,Prevalence-Induced Concept Change in Older Adults,S Devine
2020,Prevalence-Induced Concept Change in Older Adults,C Neumann
2020,Prevalence-Induced Concept Change in Older Adults,D Levari
2020,Prevalence-Induced Concept Change in Older Adults,R Wilson
2020,Prevalence-Induced Concept Change in Older Adults,B Eppinger
2020,Improving Multi-Agent Cooperation using Theory of Mind,T Lim
2020,Improving Multi-Agent Cooperation using Theory of Mind,S Tio
2020,Improving Multi-Agent Cooperation using Theory of Mind,D Ong
2020,Intention Inference in a Dynamic Multi-Goal Environment,D Ong
2020,Intention Inference in a Dynamic Multi-Goal Environment,M Quieta
2020,Intention Inference in a Dynamic Multi-Goal Environment,F Basura
2020,The Differential Relationship of Extracurricular Activities and Screen Time with Adolescents' Fluid and Crystallized Cognition,J Weber
2020,Restricted Access to Working Memory Does Not Prevent Cumulative Improvement in a Cultural Evolution Task.,J Dunstone
2020,Restricted Access to Working Memory Does Not Prevent Cumulative Improvement in a Cultural Evolution Task.,M Atkinson
2020,Restricted Access to Working Memory Does Not Prevent Cumulative Improvement in a Cultural Evolution Task.,C Caldwell
2020,The limits of learning to learn,S Phillips
2020,Reinforcement of Semantic Representations in Pragmatic Agents Leads to the Emergence of a Mutual Exclusivity Bias,X Ohmer
2020,Reinforcement of Semantic Representations in Pragmatic Agents Leads to the Emergence of a Mutual Exclusivity Bias,P König
2020,Reinforcement of Semantic Representations in Pragmatic Agents Leads to the Emergence of a Mutual Exclusivity Bias,M Franke
2020,Calibrating Trust in Autonomous Systems in a Dynamic Environment,K Okamura
2020,Calibrating Trust in Autonomous Systems in a Dynamic Environment,S Yamada
2020,Is She a Good Teacher? Children Learn to use Meaningful Gesture as a Marker of a Good Informant,E Wakefield
2020,Is She a Good Teacher? Children Learn to use Meaningful Gesture as a Marker of a Good Informant,E Congdon
2020,Is She a Good Teacher? Children Learn to use Meaningful Gesture as a Marker of a Good Informant,M Novack
2020,Is She a Good Teacher? Children Learn to use Meaningful Gesture as a Marker of a Good Informant,L Howard
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,C Bainbridge
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,J Youngers
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,M Bertolo
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,S Atwood
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,L Yurdum
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,K Lopez
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,F Xing
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,A Martin
2020,Infants Relax in Response to Unfamiliar Foreign Lullabies,S Mehr
2020,Metacognition and Motivation: The Role of Time-Awareness in Preparation for Future Learning,M Abdelshiheed
2020,Metacognition and Motivation: The Role of Time-Awareness in Preparation for Future Learning,M Chi
2020,Beyond Pattern Completion with Short-Term Plasticity,K Shabahang
2020,Beyond Pattern Completion with Short-Term Plasticity,H Yim
2020,Beyond Pattern Completion with Short-Term Plasticity,S Dennis
2020,Propositional versus Associative Views of Sentence Memory,K Shabahang
2020,Propositional versus Associative Views of Sentence Memory,H Yim
2020,Propositional versus Associative Views of Sentence Memory,S Dennis
2020,"The spatial arrangement method of measuring similarity can capture high-dimensional, semantic structures",R Richie
2020,"The spatial arrangement method of measuring similarity can capture high-dimensional, semantic structures",B White
2020,"The spatial arrangement method of measuring similarity can capture high-dimensional, semantic structures",S Bhatia
2020,"The spatial arrangement method of measuring similarity can capture high-dimensional, semantic structures",M Hout
2020,Developmental Differences in Information Sampling Effort,J Niebaum
2020,Developmental Differences in Information Sampling Effort,A Kramer
