author,authorsSim,year
A Almor,1.3486033310917849,2000
A Bale,1.2787380057364162,2000
A Bowles,1.086665138661637,2000
A Brook,1.384972591991637,2000
A Bundy,0.7616785636800237,2000
A Cleeremans,1.2674644887203654,2000
A Cooke,0.7635809422622906,2000
A Cutler,1.201728345117243,2000
A diSessa,1.2998376077597913,2000
A Feeney,1.3017166209489552,2000
A Goel,1.1935885022763102,2000
A Graesser,1.2763480655821997,2000
A Healy,1.086665138661637,2000
A Heneveld,0.7616785636800237,2000
A Hollingworth,1.1221138947759235,2000
A Holst,0.9644345039119115,2000
A Hund,1.287547465560267,2000
A Jansen,1.2548322226672557,2000
A Janyan,1.4469942160511184,2000
A Johnson,1.1959100939100538,2000
A Karnavat,1.3369017676526462,2000
A Kinyon,1.26510866751285,2000
A Markman,1.2834692823933969,2000
A Nadig,1.27439537487148,2000
A Petrov,1.1757244498650832,2000
A Plante,0.7781178332428302,2000
A Preiss,1.062406288712833,2000
A Raftopoulos,1.2659806133733615,2000
A Reid,1.265597845251639,2000
A Renkl,1.3645522057545163,2000
A Roelofs,1.3160926589512876,2000
A Sashima,1.0878823783270757,2000
A Schutte,1.2351538485693314,2000
A Shimojima,1.3793138566808838,2000
A Stewart,1.2093131910031658,2000
A Swilley,1.2274631428697094,2000
A Tanaka,1.3226257713708387,2000
A Thanukos,1.3267613468593593,2000
A Vainikka,1.2990336859237046,2000
A Wills,1.1706406253921404,2000
A Winman,1.290290852045294,2000
A Yarlas,1.169113502109075,2000
B Bertenthal,1.2767521765979524,2000
B Bridgeman,1.2847454973777788,2000
B Burns,1.2799362731339499,2000
B Galantucci,0.7642363566228408,2000
B Kokinov,1.303453639411939,2000
B Love,1.1088552965352838,2000
B Morris,1.285124968733367,2000
B Spellman,1.0023352078651335,2000
B Timmermans,1.2674644887203654,2000
B Tversky,1.1900615435151671,2000
B Wulfeck,1.0968776246469412,2000
C Beaman,1.323550616205406,2000
C Chiarello,1.100149064487975,2000
C Constantinou,1.2659806133733615,2000
C Conway,1.2733177224422234,2000
C DeVita,0.7635809422622906,2000
C Giraud-Carrier,0.9245449915396383,2000
C Hagen,1.2588153160730218,2000
C Labiouse,1.30051809717757,2000
C Long,1.3486033310917849,2000
C O'Malley,1.1497045135231931,2000
C Ramey,1.2767521765979524,2000
C Saccuman,1.0968776246469412,2000
C Scheepers,1.2485435656042823,2000
C Schlieder,1.2588153160730218,2000
C Schunn,1.1759429764830602,2000
C Shears,1.100149064487975,2000
C Wendelken,1.4160187619633058,2000
C Williams,1.1890208397683328,2000
D Alsop,0.7635809422622906,2000
D Aster,1.2358277371004425,2000
D Billman,1.2274631428697094,2000
D Casasanto,1.2966545968032053,2000
D Collister,1.1900615435151671,2000
D Cutler,1.4209050267695553,2000
D Gentner,1.2554240765229723,2000
D Janetzko,0.7735409139618248,2000
D Kaufman,1.2747227383882918,2000
D Klahr,1.0844569103857524,2000
D Ludden,1.2684025325024901,2000
D Noelle,1.1040581125910867,2000
D Norris,1.201728345117243,2000
D Paxman,0.9931601946689659,2000
D Richardson,1.2950180768316457,2000
D Salvucci,1.035310178328981,2000
D Subramanian,0.7576225810891752,2000
D Trumpower,1.1594791024590836,2000
D Vickers,1.062406288712833,2000
D Williams,1.3128928329172371,2000
D Yarlett,0.7143473617074739,2000
E Altmann,1.2877105975112606,2000
E Andonova,1.4469942160511184,2000
E Bates,1.0968776246469412,2000
E Chown,1.2791806706639182,2000
E Colunga,1.2373454225073413,2000
E Forbell,1.2791806706639182,2000
E Heise,1.2745694589123804,2000
E Johnson,1.201728345117243,2000
E Kako,1.2139838200073891,2000
E Lewis,1.3267613468593593,2000
E Marshark,1.2358277371004425,2000
E Mulligan,1.1623367334270864,2000
E Reingold,1.3128928329172371,2000
E Shortliffe,1.273738665055916,2000
E Toth,1.3677038648710258,2000
E Young,1.2950180768316457,2000
F Conrad,1.3112643014122884,2000
F Costello,1.4204452348122658,2000
F Dyer,1.2205436155493206,2000
F Gobert,1.1411560682400486,2000
F Gosselin,1.2036871782759178,2000
F Keller,1.271467862121094,2000
F Meunier,1.3147434143530763,2000
F Rheinberg,1.3774088333280767,2000
F Xu,0.7748170904721329,2000
G Cottrell,0.741120453898614,2000
G Gaskell,1.2896338742240099,2000
G Glosser,1.378614788744085,2000
G Gredebäck,1.3242451112030542,2000
G Gunzelmann,1.1727072290094163,2000
G Hollich,1.0781647494676414,2000
G Iyer,1.0968776246469412,2000
G Jones,1.1480191922367737,2000
G Knoblich,1.2453904683673869,2000
G Legendre,1.2990336859237046,2000
G Luger,1.3223937253916405,2000
G Mathern,1.19070929512257,2000
G Nagy,1.2415522416685703,2000
G Schoner,1.3869163302700522,2000
G Strube,1.2588153160730218,2000
G Westermann,0.7556193131015011,2000
H Bensusan,0.9245449915396383,2000
H Chung,1.2767521765979524,2000
H Jeong,1.2913684595222132,2000
H Komazaki,1.1881676612805658,2000
H Olsson,1.3680646210144944,2000
H Schauer,1.1598595284800959,2000
H Taelman,1.1724906689571433,2000
H Tanaka,0.7662144461741763,2000
H Wang,1.1229563108671041,2000
H Yoshida,1.1278089334557089,2000
I Fine,1.2882318279686968,2000
I McLaren,1.2728402724415013,2000
I Rooij,1.297159901263473,2000
I Umata,1.3793138566808838,2000
I Visser,0.7455851589980784,2000
J Anderson,0.9155435862529382,2000
J Andrews,1.1873703808285154,2000
J Bloom,1.3112643014122884,2000
J Choplin,1.409592564326708,2000
J Chuah,1.2310759362827128,2000
J Detre,0.9058204370650553,2000
J Earwood,1.379922464570491,2000
J Eilbert,1.1643850365308255,2000
J Evans,1.3017166209489552,2000
J Fodor,1.2745714987111185,2000
J Gee,0.7635809422622906,2000
J Greeno,1.3032967015681605,2000
J Henderson,1.1221138947759235,2000
J Henst,1.3848213881260816,2000
J Hicks,1.2326748123297722,2000
J Huart,1.30051809717757,2000
J Hummel,1.409592564326708,2000
J Jordan,1.2453904683673869,2000
J Kalmanson,1.2353775401271727,2000
J Kim,1.325049983089375,2000
J Kristoferson,0.9644345039119115,2000
J Kruschke,0.9950132901908826,2000
J Lewis,1.3223937253916405,2000
J Lim,0.7653469969574045,2000
J Liu,1.2767521765979524,2000
J Maldjian,1.378614788744085,2000
J Mendoza,1.0572438200617191,2000
J Milostan,1.325983356863317,2000
J Myers,1.1623367334270864,2000
J Oberlander,1.2326748123297722,2000
J Pine,1.2938811860391264,2000
J Pollack,0.7186414975410526,2000
J Richardson,0.7616785636800237,2000
J Rodd,1.2896338742240099,2000
J Saffran,1.378288457972487,2000
J Schmahmann,1.3683330741672133,2000
J Sedivy,1.27439537487148,2000
J Shen,1.3128928329172371,2000
J Silva,1.1871209261377282,2000
J Snedeker,1.3288332554108573,2000
J Sougné,1.3438394536704903,2000
J Spencer,1.2971896112345604,2000
J Spencer-Smith,1.0776645702310563,2000
J Tenenbaum,0.7952966596177535,2000
J Thibaut,1.305355443635361,2000
J Trafton,1.343651510280141,2000
J Trueswell,1.228427587798638,2000
J Zhang,1.0929369060312846,2000
K Filak,1.1352376555993025,2000
K Forbus,1.211362909435612,2000
K Hiraki,1.0878823783270757,2000
K Hirsh-Pasek,1.2767521765979524,2000
K Holyoak,1.0023352078651335,2000
K Jimura,1.1881676612805658,2000
K Livingston,1.1873703808285154,2000
K Marriot,1.2548322226672557,2000
K Mauth,1.1140752370628668,2000
K Mix,1.2993163902145037,2000
K Piper,1.2767521765979524,2000
K Plunkett,1.0669594971072418,2000
K Scheiter,1.3061603955394692,2000
K Schuh,1.1903088258477013,2000
K Stenning,1.2566166048248997,2000
K Straub,1.2881412728822836,2000
K That,1.2358277371004425,2000
K VanLehn,1.3600029348453815,2000
K Wexler,1.0921601757793233,2000
K Wiemer-Hastings,1.2763480655821997,2000
L Boroditsky,1.4137711545405314,2000
L Cohen,1.2358277371004425,2000
L Davidson,1.2063150287826832,2000
L Gleitman,1.3288332554108573,2000
L Ke,1.398133088875518,2000
L Knightly,1.1292208114418643,2000
L Samuelson,1.3878904481767353,2000
L Schmidt,1.4137711545405314,2000
L Schooler,1.1871209261377282,2000
L Shastri,1.4160187619633058,2000
L Smith,1.2540876578883726,2000
L Stevenson,1.0251398886323817,2000
L Tomitch,0.9640707443266378,2000
L Wagner,1.175782020704307,2000
M Byme,1.301279730988448,2000
M C.W.,1.2300513118808245,2000
M Chi,1.2913684595222132,2000
M Christiansen,1.3128038590378481,2000
M Clearfield,1.2993163902145037,2000
M Coleman,0.7781178332428302,2000
M Corely,1.2485435656042823,2000
M Dailey,0.7555870402344131,2000
M Dennis,1.3965534314755175,2000
M Diab,0.7824070664692847,2000
M Dowman,1.2427111671444566,2000
M Durbin,1.379922464570491,2000
M Ellefson,1.3564223719493342,2000
M Evens,1.325049983089375,2000
M Felberbaum,1.3288332554108573,2000
M Ford,1.398133088875518,2000
M Freed,1.273738665055916,2000
M Gaskell,1.3209646455279365,2000
M Gasser,1.2506720234036692,2000
M Glass,1.325049983089375,2000
M Grossman,0.7635809422622906,2000
M Hayes,1.1845695135643401,2000
M Johnansen,0.9950132901908826,2000
M Just,0.9640707443266378,2000
M Kamachi,0.7781178332428302,2000
M Knauff,1.3216102720664928,2000
M Krych,1.2274631428697094,2000
M Lepper,1.3083154312797411,2000
M Lyons,0.7781178332428302,2000
M Martin,1.219912347950138,2000
M Matessa,1.1096772472639957,2000
M Mozer,1.3239494562867018,2000
M Nakagawa,1.1881676612805658,2000
M Nigam,1.0844569103857524,2000
M Okubo,1.115512112127387,2000
M Pazzani,1.1732841175219357,2000
M Pelley,1.4209050267695553,2000
M Persson,1.4148812062088545,2000
M Peterson,1.288360042529592,2000
M Pomplun,1.3128928329172371,2000
M Raijkmakers,0.7455851589980784,2000
M Ramscar,0.7178632326245014,2000
M Ranney,1.3267613468593593,2000
M Schober,1.3112643014122884,2000
M Schoelles,1.1888428642502777,2000
M Soderstrom,1.0921601757793233,2000
M Sommerfeld,1.2663430020108817,2000
M Spivey,1.2950180768316457,2000
M Suret,1.1652951685809048,2000
M Todorova,1.2857089596129458,2000
M Tyler,1.2950180768316457,2000
M Waldmann,1.3882749825132916,2000
M Weiland,1.1643850365308255,2000
M Wenger,1.2658459681928709,2000
M Wiebe,1.3032967015681605,2000
M Wieth,1.3520152142006105,2000
N Blair,0.9950132901908826,2000
N Kacinik,1.100149064487975,2000
N Nersessian,1.1935885022763102,2000
N Newton,1.3683330741672133,2000
N Placa,1.3288332554108573,2000
O Melnik,0.7186414975410526,2000
P Albacete,1.3600029348453815,2000
P Carpenter,0.9640707443266378,2000
P Cheng,1.1336193145687379,2000
P Drake,1.2993163902145037,2000
P Gerjets,1.3061603955394692,2000
P Gupta,1.2684025325024901,2000
P Hagstrom,1.2990336859237046,2000
P Hendriks,1.294026194176877,2000
P Hogeweg,0.7667853086815167,2000
P Johnson-Laird,1.3764380381103964,2000
P Jordan,0.7702308828325547,2000
P Jusczyk,1.0248446702761431,2000
P Juslin,1.3317759655254928,2000
