authors,prev.year,proj_angle_author,proj_angle_neighbors
A Abraham,2018,1.055088203957751,2.158971378154965
A Anderson,2015,0.8753786584468338,1.8472733907779766
A Ankowski,2006,0.8856934780104584,2.64425289678107
A Arshamian,2017,0.5530831556603696,1.969629685387213
A Assche,2005,1.8958113241930505,1.5117441852881401
A Baltaretu,2015,1.4510620141523547,2.3376324218890816
A Belardinelli,2013,1.1418988842419062,2.20661212255498
A Belardinelli,2014,0.6984502393400738,2.019753068621272
A Belardinelli,2015,0.9835206777309619,2.4189676903108004
A Belardinelli,2016,1.6432402128870782,1.617958267840694
A Belardinelli,2017,1.1148039469642363,1.8791829768594235
A Bender,2006,0.9246768655188798,1.630924724752891
A Bender,2009,1.4948505330851403,1.9566330321319554
A Bender,2013,0.944677890735437,1.544607696526588
A Bohan,2004,1.362135585765271,2.2987141226486014
A Borghi,2013,1.1061075869817483,2.002357897370579
A Burton,2018,0.9494812167635056,1.7715609188205357
A Buss,2008,0.8051797543950217,1.7157811790917683
A Buss,2018,1.1964784208610815,1.9915363789479128
A Carstensen,2011,0.7697459059390005,1.4812791423477554
A Carstensen,2012,1.1211194383423997,2.228116610842336
A Carstensen,2013,1.0652022527211142,1.5385194780003484
A Carstensen,2014,1.3459549201371113,2.3536389643941744
A Carstensen,2015,1.5974903657281128,1.967173124350883
A Carstensen,2016,0.6544529529567188,1.431069105242584
A Carstensen,2017,1.5191986402079383,1.6543675152870825
A Carstensen,2018,0.7573483915974293,1.9111970021882971
A Chan,2015,1.4182269569674968,1.1380356129055207
A Chan,2016,1.5216841959011682,2.5540971659779563
A Chang,2009,0.961898749528172,1.912109014512078
A Chuey,2017,1.6272073999172105,1.9884705558442752
A Cleary,2014,1.9810087924541775,1.3880944010906564
A Coenen,2013,0.4503044439941201,1.6660889130355687
A Coenen,2014,0.7257809577317235,1.5760604065096515
A Coenen,2015,1.4313862653156637,2.24039864734402
A Coenen,2016,1.0057396716730052,1.9235255576059471
A Cook,2010,1.4982186761873244,1.7117668830689368
A Corner,2009,1.42851768364535,1.776367339789303
A Davis,2018,0.7491209870058613,1.9952798014875006
A Dewald,2010,2.213238111606975,2.309391602432499
A Dewald,2011,2.197570177045442,1.5236457610189755
A Dewald,2012,1.1107294045391916,1.724688881032518
A Dewald,2013,1.3303670350745977,1.8556715735681137
