"","id","label","measure","CM"
"1",1,"M Lucas",2,"degree"
"2",2,"J Orasanu",2,"degree"
"3",3,"R Reilly",2,"degree"
"4",4,"J Stemberger",2,"degree"
"5",5,"R Browse",2,"degree"
"6",6,"L Chen",2,"degree"
"7",7,"L Parsons",2,"degree"
"8",8,"J Psotka",2,"degree"
"9",9,"G Airenti",2,"degree"
"10",10,"B Bara",2,"degree"
"11",11,"M Colombetti",2,"degree"
"12",12,"D Grudin",2,"degree"
"13",13,"M Gernsbacher",1,"degree"
"14",14,"H Goldsmith",1,"degree"
"15",15,"D Smith",1,"degree"
"16",16,"J Greeno",2,"degree"
"17",17,"W Kintsch",1,"degree"
"18",18,"D Kurland",1,"degree"
"19",19,"R Pea",1,"degree"
"20",20,"J Levine",2,"degree"
"21",21,"M Boruta",2,"degree"
"22",22,"A Petitto",2,"degree"
"23",23,"G Luger",2,"degree"
"24",24,"J",2,"degree"
"25",25,"T Bower",2,"degree"
"26",26,"M Almeida",1,"degree"
"27",27,"S Shapiro",1,"degree"
"28",28,"R Alterman",2,"degree"
"29",29,"R Granger",1,"degree"
"30",30,"J Holbrook",1,"degree"
"31",31,"V Zavarin",2,"degree"
"32",32,"A Collins",1,"degree"
"33",33,"D Centner",1,"degree"
"34",34,"G Dirlich",2,"degree"
"35",35,"C Freksa",2,"degree"
"36",36,"U Furbach",2,"degree"
"37",37,"J Nutter",2,"degree"
"38",38,"W Salter",2,"degree"
"39",39,"P Langley",2,"degree"
"40",40,"J Barnden",2,"degree"
"41",41,"G Graham",1,"degree"
"42",42,"G Stephens",1,"degree"
"43",43,"G Hinton",1,"degree"
"44",44,"T Sejnowski",1,"degree"
"45",45,"M Lansdale",2,"degree"
"46",46,"I Moar",2,"degree"
"47",47,"N Hamer",2,"degree"
"48",48,"B Woods",2,"degree"
"49",49,"B Reiser",1,"degree"
"50",50,"J Black",2,"degree"
"51",51,"C Seifert",1,"degree"
"52",52,"E Soloway",2,"degree"
"53",53,"K Ehrlich",2,"degree"
"54",54,"E Gold",2,"degree"
"55",55,"F Winfield",2,"degree"
"56",1,"M Lucas",0.0181818181818182,"close"
"57",2,"J Orasanu",0.0181818181818182,"close"
"58",3,"R Reilly",0.0181818181818182,"close"
"59",4,"J Stemberger",0.0181818181818182,"close"
"60",5,"R Browse",0.0181818181818182,"close"
"61",6,"L Chen",0.0181818181818182,"close"
"62",7,"L Parsons",0.0181818181818182,"close"
"63",8,"J Psotka",0.0181818181818182,"close"
"64",9,"G Airenti",0.0188679245283019,"close"
"65",10,"B Bara",0.0188679245283019,"close"
"66",11,"M Colombetti",0.0188679245283019,"close"
"67",12,"D Grudin",0.0181818181818182,"close"
"68",13,"M Gernsbacher",0.0185185185185185,"close"
"69",14,"H Goldsmith",0.0185185185185185,"close"
"70",15,"D Smith",0.0188613342647572,"close"
"71",16,"J Greeno",0.0188679245283019,"close"
"72",17,"W Kintsch",0.0188613342647572,"close"
"73",18,"D Kurland",0.0185185185185185,"close"
"74",19,"R Pea",0.0185185185185185,"close"
"75",20,"J Levine",0.0188679245283019,"close"
"76",21,"M Boruta",0.0188679245283019,"close"
"77",22,"A Petitto",0.0188679245283019,"close"
"78",23,"G Luger",0.0188679245283019,"close"
"79",24,"J",0.0188679245283019,"close"
"80",25,"T Bower",0.0188679245283019,"close"
"81",26,"M Almeida",0.0185185185185185,"close"
"82",27,"S Shapiro",0.0185185185185185,"close"
"83",28,"R Alterman",0.0181818181818182,"close"
"84",29,"R Granger",0.0185185185185185,"close"
"85",30,"J Holbrook",0.0185185185185185,"close"
"86",31,"V Zavarin",0.0181818181818182,"close"
"87",32,"A Collins",0.0185185185185185,"close"
"88",33,"D Centner",0.0185185185185185,"close"
"89",34,"G Dirlich",0.0188679245283019,"close"
"90",35,"C Freksa",0.0188679245283019,"close"
"91",36,"U Furbach",0.0188679245283019,"close"
"92",37,"J Nutter",0.0181818181818182,"close"
"93",38,"W Salter",0.0181818181818182,"close"
"94",39,"P Langley",0.0181818181818182,"close"
"95",40,"J Barnden",0.0181818181818182,"close"
"96",41,"G Graham",0.0185185185185185,"close"
"97",42,"G Stephens",0.0185185185185185,"close"
"98",43,"G Hinton",0.0185185185185185,"close"
"99",44,"T Sejnowski",0.0185185185185185,"close"
"100",45,"M Lansdale",0.0181818181818182,"close"
"101",46,"I Moar",0.0188679245283019,"close"
"102",47,"N Hamer",0.0188679245283019,"close"
"103",48,"B Woods",0.0188679245283019,"close"
"104",49,"B Reiser",0.0188613342647572,"close"
"105",50,"J Black",0.0188679245283019,"close"
"106",51,"C Seifert",0.0188613342647572,"close"
"107",52,"E Soloway",0.0188679245283019,"close"
"108",53,"K Ehrlich",0.0188679245283019,"close"
"109",54,"E Gold",0.0188679245283019,"close"
"110",55,"F Winfield",0.0181818181818182,"close"
"111",1,"M Lucas",0,"between"
"112",2,"J Orasanu",0,"between"
"113",3,"R Reilly",0,"between"
"114",4,"J Stemberger",0,"between"
"115",5,"R Browse",0,"between"
"116",6,"L Chen",0,"between"
"117",7,"L Parsons",0,"between"
"118",8,"J Psotka",0,"between"
"119",9,"G Airenti",0,"between"
"120",10,"B Bara",0,"between"
"121",11,"M Colombetti",0,"between"
"122",12,"D Grudin",0,"between"
"123",13,"M Gernsbacher",0,"between"
"124",14,"H Goldsmith",0,"between"
"125",15,"D Smith",0,"between"
"126",16,"J Greeno",1,"between"
"127",17,"W Kintsch",0,"between"
"128",18,"D Kurland",0,"between"
"129",19,"R Pea",0,"between"
"130",20,"J Levine",0,"between"
"131",21,"M Boruta",0,"between"
"132",22,"A Petitto",0,"between"
"133",23,"G Luger",0,"between"
"134",24,"J",0,"between"
"135",25,"T Bower",0,"between"
"136",26,"M Almeida",0,"between"
"137",27,"S Shapiro",0,"between"
"138",28,"R Alterman",0,"between"
"139",29,"R Granger",0,"between"
"140",30,"J Holbrook",0,"between"
"141",31,"V Zavarin",0,"between"
"142",32,"A Collins",0,"between"
"143",33,"D Centner",0,"between"
"144",34,"G Dirlich",0,"between"
"145",35,"C Freksa",0,"between"
"146",36,"U Furbach",0,"between"
"147",37,"J Nutter",0,"between"
"148",38,"W Salter",0,"between"
"149",39,"P Langley",0,"between"
"150",40,"J Barnden",0,"between"
"151",41,"G Graham",0,"between"
"152",42,"G Stephens",0,"between"
"153",43,"G Hinton",0,"between"
"154",44,"T Sejnowski",0,"between"
"155",45,"M Lansdale",0,"between"
"156",46,"I Moar",0,"between"
"157",47,"N Hamer",0,"between"
"158",48,"B Woods",0,"between"
"159",49,"B Reiser",0,"between"
"160",50,"J Black",1,"between"
"161",51,"C Seifert",0,"between"
"162",52,"E Soloway",0,"between"
"163",53,"K Ehrlich",0,"between"
"164",54,"E Gold",0,"between"
"165",55,"F Winfield",0,"between"
"166",1,"M Lucas",1.20493380178684e-16,"eigen"
"167",2,"J Orasanu",1.20493380178684e-16,"eigen"
"168",3,"R Reilly",1.20493380178684e-16,"eigen"
"169",4,"J Stemberger",1.20493380178684e-16,"eigen"
"170",5,"R Browse",1.20493380178684e-16,"eigen"
"171",6,"L Chen",1.20493380178684e-16,"eigen"
"172",7,"L Parsons",1.20493380178684e-16,"eigen"
"173",8,"J Psotka",1.20493380178684e-16,"eigen"
"174",9,"G Airenti",0.693375371768295,"eigen"
"175",10,"B Bara",0.693375371768295,"eigen"
"176",11,"M Colombetti",0.693375371768295,"eigen"
"177",12,"D Grudin",1.20493380178684e-16,"eigen"
"178",13,"M Gernsbacher",2.5020984864039e-18,"eigen"
"179",14,"H Goldsmith",0,"eigen"
"180",15,"D Smith",1.57147581366111e-16,"eigen"
"181",16,"J Greeno",0,"eigen"
"182",17,"W Kintsch",4.71442744098332e-16,"eigen"
"183",18,"D Kurland",0,"eigen"
"184",19,"R Pea",0,"eigen"
"185",20,"J Levine",0.719411515858298,"eigen"
"186",21,"M Boruta",0.719411515858297,"eigen"
"187",22,"A Petitto",0.719411515858298,"eigen"
"188",23,"G Luger",0.543784733584522,"eigen"
"189",24,"J",0.543784733584522,"eigen"
"190",25,"T Bower",0.543784733584522,"eigen"
"191",26,"M Almeida",0,"eigen"
"192",27,"S Shapiro",0,"eigen"
"193",28,"R Alterman",1.20493380178684e-16,"eigen"
"194",29,"R Granger",0,"eigen"
"195",30,"J Holbrook",0,"eigen"
"196",31,"V Zavarin",1.20493380178684e-16,"eigen"
"197",32,"A Collins",0,"eigen"
"198",33,"D Centner",0,"eigen"
"199",34,"G Dirlich",1,"eigen"
"200",35,"C Freksa",1,"eigen"
"201",36,"U Furbach",1,"eigen"
"202",37,"J Nutter",1.20493380178684e-16,"eigen"
"203",38,"W Salter",1.20493380178684e-16,"eigen"
"204",39,"P Langley",1.20493380178684e-16,"eigen"
"205",40,"J Barnden",1.20493380178684e-16,"eigen"
"206",41,"G Graham",0,"eigen"
"207",42,"G Stephens",0,"eigen"
"208",43,"G Hinton",0,"eigen"
"209",44,"T Sejnowski",0,"eigen"
"210",45,"M Lansdale",1.20493380178684e-16,"eigen"
"211",46,"I Moar",0.535077488806544,"eigen"
"212",47,"N Hamer",0.535077488806543,"eigen"
"213",48,"B Woods",0.535077488806544,"eigen"
"214",49,"B Reiser",0,"eigen"
"215",50,"J Black",0,"eigen"
"216",51,"C Seifert",0,"eigen"
"217",52,"E Soloway",0.30172116965523,"eigen"
"218",53,"K Ehrlich",0.30172116965523,"eigen"
"219",54,"E Gold",0.30172116965523,"eigen"
"220",55,"F Winfield",1.20493380178684e-16,"eigen"
