"","from","to"
"1","M Freed","M Chong"
"2","F Ritter","M Chong"
"3","F Ritter","M Freed"
"4","W Gray","M Chong"
"5","W Gray","M Freed"
"6","W Gray","F Ritter"
"7","S Chipman","H Gigley"
"8","J Hummel","G Marcus"
"9","R Miikkulainen","G Marcus"
"10","R Miikkulainen","J Hummel"
"11","L Shastri","G Marcus"
"12","L Shastri","J Hummel"
"13","L Shastri","R Miikkulainen"
"14","W Bechtel","A Markman"
"15","G Boy","V Patel"
"16","K Vicente","V Patel"
"17","K Vicente","G Boy"
"18","A Lesgold","V Patel"
"19","A Lesgold","G Boy"
"20","A Lesgold","K Vicente"
"21","E Zee","E Zee"
"22","R Ardito","M Adenzato"
"23","M Ramscar","T Alloway"
"24","M Corley","T Alloway"
"25","M Corley","M Ramscar"
"26","J Trafton","E Altmann"
"27","W Gray","E Altmann"
"28","M MacDonald","J Arnold"
"29","C Burgess","C Audet"
"30","P Dulk","B Bakker"
"31","J Quayle","L Ball"
"32","F Bosco","B Bara"
"33","M Bucciarelli","B Bara"
"34","M Bucciarelli","F Bosco"
"35","C Bartl","C Bartl"
"36","R McCauley","W Bechtel"
"37","K Dunbar","I Blanchette"
"38","R Damiano","G Boella"
"39","L Lesmo","G Boella"
"40","L Lesmo","R Damiano"
"41","L Boroditsky","L Boroditsky"
"42","D Gentner","B Bowdle"
"43","E Feleki","H Branigan"
"44","A Brook","A Brook"
"45","V Cavalli-Sforza","V Cavalli-Sforza"
"46","S Curtin","M Christiansen"
"47","P Yule","R Cooper"
"48","S Haywood","M Corley"
"49","M Keane","J Davenport"
"50","E DeLosh","E DeLosh"
"51","R Pohl","M Eisenhauer"
"52","S Glucksberg","Z Estes"
"53","L Brooks","K Eva"
"54","K McRae","T Ferretti"
"55","J Anderson","J Fincham"
"56","A Ferrara","R French"
"57","S Brem","D Gentner"
"58","J Fox","D Glasspool"
"59","P Johnson-Laird","Y Goldvarg"
"60","R Hadley","R Hadley"
"61","M Romacker","U Hahn"
"62","A Goldberg","M Hare"
"63","U Hahn","E Heit"
"64","L Bott","E Heit"
"65","J Waltz","K Holyoak"
"66","J Tohill","K Holyoak"
"67","J Tohill","J Waltz"
"68","A Lau","K Holyoak"
"69","A Lau","J Waltz"
"70","A Lau","J Tohill"
"71","S Grewal","K Holyoak"
"72","S Grewal","J Waltz"
