"","id","label"
"1",1,"J Kihlstrom"
"2",2,"J Allen"
"3",3,"J Kleer"
"4",4,"J Brown"
"5",5,"K Forbus"
"6",6,"M Johnson"
"7",7,"J Carbonell"
"8",8,"N Quinn"
"9",9,"D McNeill"
"10",10,"G Lakoff"
"11",11,"P Greene"
"12",12,"C Boylls"
"13",13,"B Baars"
"14",14,"D Kramer"
"15",15,"M Selfridge"
"16",16,"R Cummins"
"17",17,"E Dietrich"
"18",18,"P Scott"
"19",19,"P Robertson"
"20",20,"J Morris"
"21",21,"D Dankel"
"22",22,"K Sprague"
"23",23,"J Galambos"
"24",24,"J Black"
"25",25,"E Smith"
"26",26,"D Osherson"
"27",27,"J Pollack"
"28",28,"D Waltz"
"29",29,"L Silver"
"30",30,"L Mazlack"
"31",31,"M Ringle"
"32",32,"N Paz"
"33",33,"J Nutter"
"34",34,"V Abbott"
"35",35,"H Brunner"
"36",36,"C Seifert"
"37",37,"S Robertson"
"38",38,"J Heller"
"39",39,"F Reif"
"40",40,"J Clement"
"41",41,"M Williams"
"42",42,"F Tou"
"43",43,"R Fikes"
"44",44,"A Henderson"
"45",45,"T Malone"
"46",46,"A Collins"
"47",47,"D Gentner"
"48",48,"S Shapiro"
"49",49,"J Martins"
"50",50,"D McKay"
"51",51,"J Carroll"
"52",52,"R Mack"
"53",53,"E Rissland"
"54",54,"Y Anzai"
"55",55,"Y Uesato"
"56",56,"B Britton"
"57",57,"A Tesser"
"58",58,"M Tomita"
"59",59,"B Reiser"
"60",60,"R Abelson"
"61",61,"W Brewer"
"62",62,"N Brown"
"63",63,"L Rips"
"64",64,"S Shevell"
"65",65,"J Kolodner"
"66",66,"L Barsalou"
"67",67,"M Fehling"
"68",68,"K Ehrlich"
"69",69,"E Soloway"
"70",70,"J Lave"
"71",71,"E Scanlon"
"72",72,"T O'Shea"
"73",73,"W Levy"
"74",74,"W Bechtel"
"75",75,"B Ecanow"
"76",76,"J Barnden"
"77",77,"H Kahney"
"78",78,"M Eisenstadt"
"79",79,"J Bonar"
"80",80,"E Solowoy"
"81",81,"A Jones"
"82",82,"P Thagard"
"83",83,"S Grover"
"84",84,"E Hunt"
"85",85,"P Pixton"
"86",86,"R Young"
"87",87,"M Luria"
"88",88,"S Small"
"89",89,"V Areas"
"90",90,"R Granger"
"91",91,"C Riesbeck"
"92",92,"E Hutchins"
"93",93,"R Pfeifer"
"94",94,"H Brownell"
"95",95,"D Michel"
"96",96,"J Powelson"
"97",97,"H Gardner"
"98",98,"D Stephens"
"99",99,"V Rosenthal"
"100",100,"P Bisiacchi"
"101",101,"E Adreewsky"
"102",102,"M Leyton"
"103",103,"Y Sayeki"
"104",104,"G Airenti"
"105",105,"B Bara"
"106",106,"M Colombetti"
"107",107,"M Bar-Hillel"
