cor.GA.cor,cor.GIAC.cor,cor.AIGC.cor
 0.06926080,-0.14717638,0.04682687
 0.011346375,-0.213143242,0.004483864
 0.05974193,-0.14834788,0.08419613
 0.01285931,-0.17017736,0.03434978
-0.03314314,-0.14212697,0.07353923
 0.01444186,-0.20717712,0.07038788
 0.03989604,-0.17275924,0.07708165
 0.03722799,-0.17649875,0.02062125
 0.01421267,-0.2185614,0.06101735
-0.0254185,-0.1351944,0.063957
-0.04015598,-0.21344237,0.04453767
-0.02619825,-0.20980841,0.05517769
 0.04478395,-0.23480698,0.08689303
 0.09290687,-0.24341815,0.0243581
 0.025325193,-0.196862481,0.001721563
 0.10279048,-0.20426122,0.05219822
-0.06048962,-0.22199926,0.02001976
-0.02085358,-0.18050002,0.03588217
-0.04012046,-0.14250906,0.03581506
 0.06958977,-0.20338473,0.04525323
 0.03944436,-0.22113437,0.08739999
 0.04730597,-0.173278,0.12909423
 0.01975603,-0.18568802,0.01987129
 0.05910451,-0.22036488,0.11529226
-0.01911604,-0.15398154,0.0787367
 0.01367926,-0.1818463,0.0226171
-0.03474997,-0.21503153,0.0742619
 0.0459340,-0.1141585,0.1366392
 0.024478361,-0.177539795,0.001557661
 0.04938628,-0.20083528,0.06411467
-0.01373997,-0.11482197,0.07704381
-0.04904663,-0.21322178,0.02976575
 0.04294072,-0.12864448,0.1069539
 0.02564880,-0.15437771,0.07233911
 0.03127592,-0.13636116,0.03237501
 0.008480918,-0.205526326,0.026574464
 0.04797444,-0.17449237,0.04049113
 0.04963709,-0.16648845,0.07367133
-0.001545966,-0.223254849,0.013339729
 0.01125942,-0.18368208,0.12316161
 0.06303908,-0.1419846,0.07502219
 0.07516560,-0.1908278,0.05748825
 0.025401969,-0.184228366,-0.006754624
-0.010722438,-0.179052686,-0.009962347
-0.0005118541,-0.2352275912,0.0865611676
 0.01188504,-0.15860459,-0.02161561
 0.01592761,-0.20870704,0.03555635
 0.008435079,-0.205415061,0.05240547
 0.003574131,-0.178233347,0.053192912
-0.01359567,-0.1368995,0.08001211
 0.0002497294,-0.1390760839,0.0945772126
 0.001171523,-0.169888523,0.038777554
-0.04175057,-0.19492343,0.08990918
 0.02541312,-0.16755403,0.05541517
 0.04673252,-0.19294979,0.100482
-0.02951549,-0.20851249,0.07007049
-0.01934528,-0.14907019,0.05759096
 0.01233885,-0.21291694,0.0393374
 0.03140338,-0.20633413,0.10364486
 0.03072498,-0.15303841,0.04805993
 0.002288877,-0.160107872,0.05488719
 0.04134041,-0.22138963,0.04803564
 0.02943291,-0.17933361,0.10649755
 0.08618543,-0.14345655,0.04348868
 0.005399844,-0.212968825,-0.014860677
 0.05764066,-0.18811569,0.05160315
 0.03414620,-0.18485202,0.07137071
-0.05000458,-0.16430141,0.07151457
 0.05182946,-0.20281694,0.0189968
-0.027760477,-0.186698662,-0.007479844
 0.01469140,-0.16969811,0.07035439
 0.02908474,-0.24639379,0.03219165
 0.07389177,-0.14700011,0.07020611
 0.03974955,-0.13055237,0.04987955
 0.02723932,-0.19556288,0.09413637
-0.03923753,-0.22418497,0.05713949
-0.05924377,-0.14651531,0.05792358
 0.08545895,-0.19228542,0.11282997
 0.004023486,-0.229316707,0.061969136
 0.05702157,-0.17352613,0.06660516
-0.006480647,-0.206338995,-0.009463717
 0.01173354,-0.21045216,0.06000516
-0.005197317,-0.20221762,0.095597832
-0.03335896,-0.20612565,0.07849658
-0.01047959,-0.21819549,0.0770555
 0.002251152,-0.229758535,0.048398054
 0.01269683,-0.14658523,0.04395422
-0.02580757,-0.23610002,0.05966309
-0.02892423,-0.16824993,0.04698697
 0.01023872,-0.17687194,0.02652095
 0.03435181,-0.20390399,0.07816144
 0.05414100,-0.19005463,0.02122784
-0.05722682,-0.19369418,0.05891415
-0.055296147,-0.204623485,-0.001250228
-0.02988537,-0.20837451,0.05692507
-0.04975324,-0.1460792,0.08088059
 0.082884400,-0.199310817,0.003098728
 0.02683416,-0.25559561,0.0449016
 0.04484756,-0.17606275,0.04139899
 0.04875649,-0.19401022,0.06529459
 0.03276946,-0.1748079,0.06620913
-0.009159485,-0.150644656,0.063509719
-0.0001025587,-0.1840922984,0.0896823675
 0.03846456,-0.14126017,0.01439656
 0.01817313,-0.19546196,0.05797044
-0.002360147,-0.195373305,0.066972333
 0.03922546,-0.17411243,0.0711875
 0.04288469,-0.17734602,0.02914892
 0.007692495,-0.210956803,0.104728794
 0.01326444,-0.22252468,0.0369058
 0.03452942,-0.15923702,0.0138046
 0.04274574,-0.16152504,0.07362389
 0.06242028,-0.17094781,0.10154638
-0.06845093,-0.22995274,0.14395273
 0.01843521,-0.18420392,0.05773631
 0.02277898,-0.16656772,0.09445633
 0.03203905,-0.17787605,0.1042373
 0.009921283,-0.18691329,0.023415958
-0.03896158,-0.16067914,0.02256046
 0.01390419,-0.14908754,0.05875168
 0.02856228,-0.1824552,0.0368283
 0.13654680,-0.13407622,0.05743653
 0.03365337,-0.19185337,0.06468691
-0.07333039,-0.16488397,-0.02405734
 0.002502128,-0.148408085,0.050850775
-0.0005173684,-0.1916722452,0.0736866245
 0.0158236608,-0.2013025612,3.681097e-4
 0.03011678,-0.18089094,0.11504007
-0.02976256,-0.16026403,0.04867698
 0.02268683,-0.1284925,0.03711044
-0.01994807,-0.16842072,0.03511416
-0.01438146,-0.16362382,0.09169842
 0.061207372,-0.177842837,0.009918753
 0.052488653,-0.193836302,-0.005504091
-0.04445484,-0.19457134,0.04498458
 0.10991698,-0.14709068,0.05559265
 0.02678824,-0.25323639,0.02974915
 0.002040897,-0.142388272,0.048336959
 0.0037887201,-0.153910871,7.280019e-4
 0.01598650,-0.19926858,0.06411504
 0.04042946,-0.19999781,0.08321319
-0.003709837,-0.155358949,0.001385193
 0.003130704,-0.156719295,0.072623655
-0.02252534,-0.15514613,0.09484963
 0.01120558,-0.16668939,0.034072
 0.01408137,-0.14870652,0.0706149
-0.01866969,-0.17263706,0.0455947
-0.05389192,-0.20339474,0.10999945
-0.02863925,-0.14620736,0.04788369
 0.01523177,-0.19192352,0.03764082
 0.0194275,-0.1729682,0.1082816
 0.022065800,-0.172537689,0.008342926
 0.03017307,-0.22821451,0.0701312
 0.01360362,-0.2022835,0.02796694
-0.01059859,-0.2046836,0.0843252
 0.02074607,-0.21872544,0.02256744
 0.05077120,-0.21160001,0.05588379
 0.02594216,-0.19010238,0.08837451
 0.06102151,-0.1847498,0.0738741
 0.06122609,-0.22433616,0.07305566
-0.02344251,-0.21949982,0.08526103
-0.01036984,-0.18463714,0.05171134
-0.002735712,-0.18862961,0.030580031
 0.024170723,-0.209272554,-3.88944e-4
-0.03069637,-0.19878297,0.12596351
 0.001669662,-0.210504009,0.048558689
 0.0009325291,-0.1717094808,0.0819289715
-0.05671873,-0.20600668,0.04970831
 0.04519678,-0.17435823,0.03376764
-0.01861873,-0.22302346,0.05602987
-0.001545615,-0.175091486,0.007456956
 0.01750489,-0.20227075,0.04304822
 0.004841635,-0.197482586,0.056335375
-0.03247448,-0.18484089,0.13032766
-0.01871310,-0.18705132,0.02585402
 0.05192587,-0.21429531,0.15308288
 0.06578191,-0.2197538,0.06349472
-0.06562168,-0.17044704,0.0894932
-0.05315379,-0.18421547,0.09342689
 0.02294873,-0.20237745,0.07355371
-0.02003491,-0.16570398,0.04299012
-0.09350683,-0.17638472,0.08728132
 0.03669058,-0.18982889,0.04752478
 0.03815793,-0.20060341,0.06380019
-0.01515123,-0.16872251,0.09460622
 0.004084956,-0.180982201,0.056116133
 0.02998628,-0.1406046,0.07109996
 0.03362061,-0.19364197,0.08616676
-0.03037456,-0.17038742,0.01728148
-0.01384296,-0.18335176,0.05641261
-0.01703865,-0.20498862,0.05755524
-0.04645407,-0.14112961,0.09247838
 0.01498152,-0.16506738,0.04608524
 0.04219422,-0.15617031,0.03053445
 0.02748621,-0.18550989,0.10092463
 0.01105613,-0.21362931,0.10499981
-0.06556384,-0.18093004,0.06861625
 0.02839782,-0.19362055,0.01780816
 0.005486024,-0.220073827,0.012309267
-0.04089394,-0.16037066,0.09077897
-0.03073248,-0.21599929,0.04383461
 0.004346212,-0.225767821,0.085674796
-0.05308992,-0.14681398,0.02060943
 0.01861385,-0.15897052,0.0890973
 0.040890627,-0.221970962,-0.001457136
 0.03020739,-0.18037524,0.06086195
 0.01028197,-0.18625988,0.0842012
 0.0003387925,-0.1853288113,0.0603116639
-0.013428719,-0.207196521,0.004323235
-0.008392102,-0.186836058,0.065253738
-0.000573576,-0.110556192,0.088510444
-0.04321415,-0.23885335,0.1007556
-0.04634898,-0.15216067,0.06559467
-0.01144336,-0.20791128,0.04465867
 0.02335304,-0.18731287,0.05187718
 0.004849157,-0.2265746,0.090242698
-0.04870780,-0.21120652,0.08875438
 0.05039236,-0.24019651,0.06685693
-0.05138747,-0.14493973,0.037869
 0.04897082,-0.18545064,0.01120698
-0.03559782,-0.1629214,0.03721277
-0.003596993,-0.172746688,0.057856827
 0.04155353,-0.20095302,0.02909428
-0.02366739,-0.17993616,0.03876701
 0.03006494,-0.16894978,0.06913517
 0.02493742,-0.14575654,0.1210241
-0.06154633,-0.22365231,0.03777743
-0.008814318,-0.156288644,0.023910588
 0.05010555,-0.21337638,0.04065155
 0.04954982,-0.23566513,-0.01318579
 0.02313620,-0.17470688,0.04387177
-0.04323784,-0.14605988,0.06627034
-0.01354361,-0.18452817,0.04294867
-0.02732787,-0.16953523,0.08580224
-0.03602546,-0.18390196,0.08804864
 0.02254963,-0.17666286,0.10518358
 0.09460326,-0.16102245,0.08400559
 0.11947789,-0.17135837,0.05835665
-0.02785316,-0.18916473,0.12073463
-0.05231113,-0.19075845,0.08031981
-0.04002519,-0.14430162,0.08698149
 0.01175149,-0.23808121,0.07289949
-0.05262542,-0.18128166,0.03943051
-0.01273771,-0.14040557,0.11092338
-0.01447148,-0.15762509,0.09927285
 0.12158338,-0.16241587,0.07381138
-0.007474111,-0.23231248,0.060484133
-0.06240634,-0.21122597,0.03678469
 0.089381514,-0.203390675,0.008335294
 0.02989077,-0.16648346,0.09466372
 0.01499393,-0.13572363,0.11957381
-0.04770350,-0.20035792,0.08723783
 0.01449209,-0.15868664,0.03319408
-0.02671956,-0.18231884,0.09755359
-0.02016235,-0.16873768,0.0263535
-0.04421954,-0.19912286,0.07141533
 0.040981686,-0.194183251,-0.003077144
-0.02454076,-0.18444517,0.05233855
 0.073314314,-0.146636146,0.003659207
 0.009091715,-0.182359741,0.034778874
 0.05179559,-0.16813074,0.06823396
