author,authorsSim,year
A Ahumada,1.0888585326830356,2001
A Bonds,1.2385036623750503,2001
A Brown,1.271815027648051,2001
A Cate,1.2732189301089827,2001
A Chatziastros,1.1703531435880667,2001
A Chaudhuri,1.2683631515362286,2001
A Colcombe,1.2332340565103146,2001
A Dawson,1.1462221937142427,2001
A Dickinson,1.1307366298772337,2001
A Dobbins,1.0208335590083348,2001
A Doorn,1.1342149552770509,2001
A Duchon,1.2370322343027902,2001
A Dunn,1.2878144128868625,2001
A Facoetti,1.3325246724286444,2001
A Feher,1.0993043803437206,2001
A Fitzgibbon,1.0646728651301667,2001
A Fuzz,1.174292157991045,2001
A Galmonte,1.1840157364860842,2001
A Garcia,1.1781668781292514,2001
A Gilchrist,1.256012218354472,2001
A Glennerster,1.0646728651301667,2001
A Gorea,1.0171132903728513,2001
A Harner,1.1690330719846849,2001
A Harris,1.3828620955332314,2001
A Herbert,1.3408848952663424,2001
A Holcombe,0.9526569213782164,2001
A Jacobs,1.1436832162570163,2001
A James,1.0960295546456509,2001
A Johnston,0.8873854020716883,2001
A Kappers,0.9678366963699316,2001
A Kayser,1.2631334444234916,2001
A Khan,1.2626495346966495,2001
A Kohn,1.1916556553815019,2001
A Koning,1.1168973312810597,2001
A Kopinska,1.2161377012472814,2001
A Kramer,1.2332340565103146,2001
A Kristjansson,1.1996067528118521,2001
A Krukowski,1.2876923346638445,2001
A Leber,1.2889023946270344,2001
A Li,1.2279248675232457,2001
A Lindner,1.0865271337334619,2001
A Lleras,1.0803508278172487,2001
A Lukacs,1.0993043803437206,2001
A Mack,1.1230479695474436,2001
A Mapp,1.2056530912875334,2001
A Murthy,1.1072684416821978,2001
A Nelson,1.2922503621368489,2001
A Norcia,1.2183862230413913,2001
A O'Connor,1.2250447375641813,2001
A O'Toole,1.3573801557894134,2001
A Oliva,1.0864170918410712,2001
A Oomes,1.242349495979916,2001
A Parker,1.1317719406332933,2001
A Parraga,1.160862454239831,2001
A Parton,1.1370787595898755,2001
A Pelah,1.1537743766521948,2001
A Popple,1.119684929765511,2001
A Porterfield,1.359258520844418,2001
A Reeves,1.0052539710855306,2001
A Rezec,1.0107725707909119,2001
A Rodriguez,1.1924395095099591,2001
A Roe,1.172260953121945,2001
A Rossi,1.0486267660614261,2001
A Saidpour,1.0468828788177793,2001
A Seiffert,1.3195170436720098,2001
A Sekuler,1.0428145120263532,2001
A Shimpi,1.1412691413825546,2001
A Skoczenski,1.2922503621368489,2001
A Slater,1.3046691148232574,2001
A Thurrell,1.1537743766521948,2001
A Tokuda,1.0888985120325643,2001
A Torralba,1.0895115932470403,2001
A Treisman,1.1207098888890226,2001
A Turina,1.159961254355466,2001
A Vecchio,1.1862566959400447,2001
A Wyatt,0.9920904793665221,2001
A Yagi,1.2086734585795402,2001
A Yonas,0.9625495632241335,2001
B Anderson,0.9757592601084543,2001
B Angelone,1.1561332668196034,2001
B Backus,1.1575229333358812,2001
B Bacon,1.2162946392661453,2001
B Baumberger,0.9207284087901693,2001
B Beutter,1.0263244901836917,2001
B Bly,1.0063296634093795,2001
B Bridgeman,1.0747159479174908,2001
B Corrie,1.1644901683453344,2001
B Cumming,1.1317719406332933,2001
B Dyre,1.221001377009562,2001
B Fajen,1.2938495121074778,2001
B Gaddy,1.0505638408401732,2001
B Gavett,1.1968480330922828,2001
B Gelder,1.1587297120786997,2001
B Gillam,1.2979234086977964,2001
B Hartung,1.194435834889474,2001
B Khang,1.3140486619738203,2001
B Knappmeyer,1.240490618479622,2001
B Kreher,1.1355991863894515,2001
B Lau,1.2039097581827523,2001
B Lotto,1.2308169477479545,2001
B Pinna,1.2716711009374604,2001
B Ramsden,1.172260953121945,2001
B Riecke,1.1079576332015966,2001
B Rokers,1.0063296634093795,2001
B Rossion,1.1729095234741505,2001
B Sabel,1.1971529013063882,2001
B Scholl,1.1742595277345758,2001
B Schott,1.0610001104092406,2001
B Sheth,0.9130934158180742,2001
B Shields,1.0108453443248662,2001
B Stankiewicz,1.2155059137138668,2001
B Stein,1.247926385375553,2001
B Sweet,1.1781668781292514,2001
B Timney,1.0553363160898275,2001
B Tjan,1.2238047810611024,2001
B Tsou,1.054017137418127,2001
B Wesenick,1.1369846167743691,2001
B Willems,1.118277182305235,2001
B Willmore,1.1250178811535831,2001
B Wu,1.2733331827040275,2001
B Zenger-Landolt,1.1667348244939315,2001
C Abbey,1.0169454279397878,2001
C Anderson,1.1242946286168487,2001
C Arndt,1.1175887167295884,2001
C Aslin,1.0927758380550767,2001
C Bassi,1.1284590312843994,2001
C Benton,0.9838949753599977,2001
C Casanova,1.047014902341747,2001
C Cassanello,1.0957325531210536,2001
C Cattaneo,1.3325246724286444,2001
C Caudek,0.9794488118982289,2001
C Chizk,1.1181429147792294,2001
C Clifford,0.8140342021120585,2001
C Eccelpoel,1.146330902615415,2001
C Ellard,1.022485336567293,2001
C Erkelens,1.204693519428704,2001
C Fantoni,1.2644339674190688,2001
C Folk,1.1518296198536397,2001
C Fulton,1.0662914176815381,2001
C Gottesman,1.2491898881940826,2001
C Gray,0.9841192796391125,2001
C Hung,1.172260953121945,2001
C Koch,0.7409651768888732,2001
C Liu,1.2683631515362286,2001
C Michel,1.2332361152160767,2001
C Moore,0.965838966525781,2001
C Nilson,1.1483629992656164,2001
C Park,1.1261420357933796,2001
C Peh,1.0727004567897072,2001
C Pleh,1.0993043803437206,2001
C Royden,0.9749785622047834,2001
C Sauer,1.070132094380425,2001
C Scheier,1.17114885130425,2001
C Scialfa,1.2332340565103146,2001
C Shook,1.2744796446263367,2001
C Simion,1.17114885130425,2001
C Strumpf,1.2491589957408185,2001
C Talgar,1.2651903147843104,2001
C Tyler,1.0205946176324183,2001
C Vaitsou,1.1549302356720008,2001
C Wehrhahn,1.085242125433403,2001
C Wu,1.1242946286168487,2001
C Yu,1.232315496437721,2001
C Zabai,1.032979665764928,2001
D Aks,1.0431188171990826,2001
D Alais,1.1189107858632794,2001
D Arnold,1.0543251137114278,2001
D Ballard,1.0902862730806846,2001
D Bavelier,1.1874518862330783,2001
D Belcher,1.3602676265218832,2001
D Brainard,1.2575125566440195,2001
D Burr,1.1482659450022579,2001
D Crewther,1.1666738983205307,2001
D Cunningham,0.9981464069257228,2001
D Daris,1.1840157364860842,2001
D Dumbrava,1.047014902341747,2001
D Eagleman,1.2259693939296226,2001
D Giaschi,1.155947191159815,2001
D Heeger,1.0266985973423297,2001
D Hoffman,1.1483629992656164,2001
D Jokisch,1.33145951684008,2001
D Kersten,1.0387773570623011,2001
D Klass,1.2469134168360876,2001
D Knill,1.2753916706617017,2001
D Leopold,1.3573801557894134,2001
D Levi,1.2041163545117055,2001
D Levin,1.04425014731463,2001
D Leys,1.230591195777825,2001
D Lindsey,1.271815027648051,2001
D Liston,1.0686219088895361,2001
D Luskin,1.3843705939089817,2001
D Lyon,1.2715093107952782,2001
D Macleod,1.215150383200751,2001
D MacLeod,0.8836640521393171,2001
D McConnell,1.1939114078078816,2001
D Melcher,1.1245945738387588,2001
D Nichols,1.1031653666963908,2001
D Nieman,1.161895648533401,2001
D Owens,1.0897073073049397,2001
D Palomo,1.0572524669626404,2001
D Pelli,1.0727422522224204,2001
D Pins,1.1132245738159081,2001
D Poggel,1.1971529013063882,2001
D Purves,0.8478000902491265,2001
D Quinlan,1.232063426314024,2001
D Regan,1.1534541658705981,2001
D Ress,1.151957818254714,2001
D Royal,1.1381423256197165,2001
D Sagi,1.0171132903728513,2001
D Schacter,1.1549302356720008,2001
D Shaffer,1.2467793798985454,2001
D Sheinberg,1.1149562216215032,2001
D Simons,1.0392592800728502,2001
D Somers,1.0147207815025405,2001
D Swapp,1.2191571185771826,2001
D Tadin,0.9423666854779871,2001
D Tailor,1.1800975352682022,2001
D Tolhurst,1.0785712476208822,2001
D Tweed,1.0267483900972991,2001
D Wang,1.3057873817008772,2001
D Wu,1.251616437121702,2001
D Zavagno,1.0989005616502836,2001
D Zikovitz,1.0918520272084167,2001
E Adelson,1.0038269149698424,2001
E Barenholtz,1.2332581365453787,2001
E Blaser,1.1533191420275823,2001
E Cameron,1.1315429878760217,2001
E Clifford,1.1686869552804962,2001
E Covell,1.186890130383123,2001
E Davis,1.2744796446263367,2001
E Economou,1.1407243237242042,2001
E Eskandar,1.000458794947338,2001
E Fine,1.3350186827616006,2001
E Grossman,0.9243181699569861,2001
E Hiris,1.0930080901239525,2001
E Hubbard,1.4217386315429879,2001
E Kasten,1.1971529013063882,2001
E McKone,1.0504501645806212,2001
E McSorley,1.0048266528650103,2001
E Mueller-Oehring,1.1971529013063882,2001
E Palmer,0.9943942577102146,2001
E Pasztor,1.211771153069012,2001
E Ruthruff,1.1518296198536397,2001
E Schlicht,1.0606666777150244,2001
E Sellers,1.2580860078514478,2001
E Shimojo,1.17114885130425,2001
E Simoncelli,1.078317646092531,2001
E Switkes,1.104747505338108,2001
E Tehovnik,1.183378285041061,2001
E Vessel,1.2129769183338708,2001
E Vogel,1.2209999058723666,2001
E Wascher,1.232675839003138,2001
E Wasserman,1.0800388151671994,2001
F Bonato,1.1896687777651354,2001
F Cutzu,1.1475378883898135,2001
F Domini,0.9794488118982289,2001
F Durgin,1.2424759879194447,2001
F Fang,1.0063296634093795,2001
F Gabbiani,1.1858104850163358,2001
F Germeys,1.1378394995448624,2001
F Gosselin,1.0168572373792608,2001
F Jack,1.1132245738159081,2001
F Loula,1.067972847404282,2001
F Maeda,1.251616437121702,2001
F Morrow,1.221001377009562,2001
F Newell,1.3304151926467802,2001
F Owens,1.1244908412622479,2001
F Panerai,1.0593664188869762,2001
F Pei,1.2183862230413913,2001
F Phillips,0.9951238954011609,2001
F Pollick,1.3382958947357146,2001
F Qiu,1.0242174797582428,2001
F Sgorbissa,1.032979665764928,2001
F Tong,1.3701322150074111,2001
F Verstraten,1.2281498089578062,2001
F Visco,1.1734402419763026,2001
F Wichmann,1.118277182305235,2001
G Alvarez,1.3404863445118338,2001
G Andersen,0.9821184216380393,2001
G Bingham,1.1482517930738998,2001
G Boynton,0.9526564158046056,2001
G Buchsbaum,1.1800975352682022,2001
G Buracas,1.060481155162098,2001
G Caputo,1.0989005616502836,2001
G DeAngelis,1.1384298958692896,2001
G Geiger,1.3325246724286444,2001
G Grudic,1.1939114078078816,2001
G Henning,1.2148261764227504,2001
G Humphrey,1.1243101638752875,2001
G Jando,1.2002769971079115,2001
G Kreiman,1.1750351274999244,2001
G Legge,1.0218516183555202,2001
G Malkoc,1.0869222929550724,2001
G Michael,1.230591195777825,2001
G Orban,1.1424598796778442,2001
G Pourtois,1.0036773517292972,2001
G Rees,0.964882168230557,2001
G Sa'ry,1.1381423256197165,2001
G Schoner,1.1261420357933796,2001
G Stoet,0.9572269109022591,2001
G Stoner,1.0537792055619848,2001
G Woodman,1.2204182824879288,2001
G Zelinsky,1.0431188171990826,2001
H Ando,1.0155082107053002,2001
H Arsenio,1.1983924297490383,2001
H Ashida,1.0372998678648995,2001
H Bedell,1.1734402419763026,2001
H Beeck,1.1299710447899096,2001
H Bridge,1.1628533473983544,2001
H Brown,1.2385036623750503,2001
H Buelthoff,0.8706584581870909,2001
H Büelthoff,1.232675839003138,2001
H Bülthoff,1.0319201921195718,2001
H Deubel,1.1369846167743691,2001
H Egeth,1.2889023946270344,2001
H Farid,1.022487920178108,2001
H Hibino,1.0890902733795227,2001
H Hill,1.1661543680973374,2001
H Hock,1.0060865187455528,2001
H Kaneko,1.0647467233531185,2001
H Lu,0.9172699856770464,2001
H Miller,1.1244908412622479,2001
H Ono,1.1376852728328224,2001
H Pan,1.0063296634093795,2001
H Paterson,1.388343854343386,2001
H Scholte,1.0524316158480236,2001
H Shigemasu,1.2216520888519444,2001
H Spekreijse,0.9191414695856269,2001
H Supèr,1.0519744840620182,2001
H Surti,1.2922503621368489,2001
H Teufel,1.085242125433403,2001
H Yaguchi,1.0905496846286071,2001
H Zhong,0.992944405876356,2001
I Berndt,1.232675839003138,2001
I Biederman,1.0639555825960656,2001
I Buelthoff,1.3304151926467802,2001
I Epifanio,1.1620209880800163,2001
I Fine,1.026790755881347,2001
I Fried,1.1750351274999244,2001
I Howard,1.2056530912875334,2001
I Kovacs,1.0993043803437206,2001
I Lamouret,1.1043317661209684,2001
I Mareschal,1.2171015754250736,2001
I Motoyoshi,1.061652557672373,2001
I Mukai,1.0890902733795227,2001
I Murakami,1.2301668977843812,2001
I Thornton,0.9761690724201212,2001
I Viaud-Delmon,1.2332361152160767,2001
J Allison,1.2385036623750503,2001
J Amati,1.2354490164692913,2001
J Assad,1.000458794947338,2001
J Barton,1.098534117935423,2001
J Bisley,1.0448087212338755,2001
J Braun,1.0105070171236825,2001
J Bremner,1.3046691148232574,2001
J Brooks,1.0897073073049397,2001
J Buschmann,1.0532007099921892,2001
J Calton,1.1307366298772337,2001
J Cantero,1.3843705939089817,2001
J Cataliotti,1.1896687777651354,2001
J Cavanaugh,1.0696453793252332,2001
J Chen,1.1904873848934456,2001
J Choplin,1.1862590710387686,2001
J Connolly,1.3519439015636097,2001
J Crawford,1.0267483900972991,2001
J Crowell,1.1724926231836923,2001
J Culham,1.154252749495418,2001
J Cutting,0.9852713742060225,2001
J Danckert,1.1777487882556428,2001
J Degreef,1.230591195777825,2001
J DeSouza,1.2625805362999232,2001
J Droll,1.1150968600714657,2001
J Droulez,0.987170206312782,2001
J Edelman,1.2317814433827505,2001
J Elder,1.2354490164692913,2001
J Elfar,1.000458794947338,2001
J Faubert,1.0083403255740273,2001
J Feldman,0.993174484309016,2001
J Findlay,1.0048266528650103,2001
J Fiser,1.0362177743224348,2001
J Forte,1.0126087539855864,2001
J Gati,1.2242721940100143,2001
J Grobe,1.1666428218830827,2001
J Grossmann,1.0208335590083348,2001
J Gutierrez,1.1620209880800163,2001
J Hache,1.1175887167295884,2001
J Hall,1.2125118793305845,2001
J Han,1.1607402503795181,2001
J Hardy,1.1382667737779548,2001
J Hill,1.1391755754300463,2001
J Hillis,1.1198608920913347,2001
J Hirsch,1.1197399417777807,2001
J Hupé,0.9750724413388279,2001
J Huttenlocher,1.1862590710387686,2001
J Jovicich,1.2706466769200229,2001
J Kaas,1.2715093107952782,2001
J Kadt,1.0897721214757399,2001
J Kawahara,1.0811263483071856,2001
J Kim,1.3096373306682128,2001
J Koenderink,1.1342149552770509,2001
J Kraft,1.041323875768715,2001
J Krauskopf,1.025510009741744,2001
J Lachter,1.1518296198536397,2001
J Lalonde,1.2683631515362286,2001
J Lappin,0.9423666854779871,2001
J Lettvin,1.3325246724286444,2001
J Liu,1.3828620955332314,2001
J Loomis,0.9833302833066326,2001
J Lorenceau,0.9715392727759181,2001
J Malik,1.1566900726806957,2001
J Malo,1.1620209880800163,2001
J Maonsson,0.9924698119524118,2001
J May,1.0921475626920878,2001
J McCarley,1.147333394711511,2001
J Meng,1.1154404687591428,2001
J Mittelstadt,1.2580860078514478,2001
J Moore,1.049365693437004,2001
J Mordkoff,1.108953441724902,2001
J Mounts,1.1968480330922828,2001
J Movshon,1.0079306604833365,2001
J Mulligan,0.9428367445787845,2001
J Náñez,1.1137228075317835,2001
J Norman,1.243638244525796,2001
J Palix,1.2332361152160767,2001
J Peirce,1.0126087539855864,2001
J Philbeck,1.2125118793305845,2001
J Raggio,1.1244908412622479,2001
J Richman,1.221001377009562,2001
J Ross,1.1482659450022579,2001
J Ryu,1.284856244203689,2001
J Sadr,1.0641137557965015,2001
J Saiki,1.038511091973012,2001
J Samonds,1.2385036623750503,2001
J Saunders,1.3372708244985636,2001
J Schall,1.0993649277388569,2001
J Schirillo,1.0482149303860693,2001
J Schlag,1.0494978523555136,2001
J Seyama,1.2631908348487901,2001
J Slemmer,1.296963153932266,2001
J Sprott,1.0431188171990826,2001
J Tai,1.1315429878760217,2001
J Tanaka,1.359258520844418,2001
J Thaung,1.1742372078553078,2001
J Todd,1.137418324280316,2001
J Touryan,1.2039097581827523,2001
J Triesch,1.0902862730806846,2001
J Turner,1.2002769971079115,2001
J Vaughan,1.247926385375553,2001
J Wagemans,0.8978270375377724,2001
J Wallman,1.2626495346966495,2001
J Wann,1.2139144841303986,2001
J Wayand,1.1731900890320168,2001
J Wilson,1.104747505338108,2001
J Winter,1.2306357489029838,2001
J Wolfe,1.135935950911346,2001
J Zhuang,1.078516287290662,2001
K Dobkins,0.9927315052786765,2001
K Endo,1.0242174797582428,2001
K Foster,1.3046691148232574,2001
K Frieder,1.1278900382347192,2001
K Fujimoto,1.2086734585795402,2001
K Goetz,1.232675839003138,2001
K Grill-Spector,1.1457739229628991,2001
K Hoddinott,1.2148261764227504,2001
K James,1.1644901683453344,2001
K Johnston,1.0553363160898275,2001
K Joneleit,1.1672292627382537,2001
K Krug,1.1645651391599834,2001
K Lee,1.2129769183338708,2001
K Macuga,1.1534541658705981,2001
K May,1.3319317163572533,2001
K Miller,1.2676783606791098,2001
K Nakayama,0.9111944414322038,2001
K Nihei,1.239897805601797,2001
K Rounsley,1.0108453443248662,2001
K Schneider,1.1874518862330783,2001
K Smith,1.2469134168360876,2001
K Sobel,1.221026901988877,2001
K Thompson,1.1072684416821978,2001
K Thoresz,1.1836958659173273,2001
K Uchikawa,1.0369974656861276,2001
K Valois,1.001286729856854,2001
K Van,1.1607402503795181,2001
K Venkatesh,1.2469134168360876,2001
K Verfaillie,1.0926032119253022,2001
K Watanabe,1.043379653895445,2001
K Yokoi,1.287608191323468,2001
K Yokosawa,1.265525002516409,2001
K Yu,0.9897737081326062,2001
K Zipser,1.225678440601051,2001
L Battelli,1.2599703227419707,2001
L Bilodeau,1.1173808489164003,2001
L Bonnar,1.1114703724468757,2001
L Carlson,1.186890130383123,2001
L Chang,1.2706466769200229,2001
L Cheong,0.9546899337115397,2001
L Chukoskie,1.1712305347634964,2001
L Cormack,0.899922511386025,2001
L Fields,1.1666428218830827,2001
L Fox,1.2424759879194447,2001
L Gilroy,1.017785986196068,2001
L Gool,1.159961254355466,2001
L Harris,1.136785602328565,2001
L Hunt,1.1284590312843994,2001
L Hurvich,1.1064318638377655,2001
L Kontsevich,0.8972778817520883,2001
L Levy,1.1027360737303047,2001
L Likova,1.1036030755072201,2001
L Matin,1.1197399417777807,2001
L Paul,1.0018022661223083,2001
L Paula-Pereira,1.1360297852654215,2001
L Shams,1.2986265437989548,2001
L Snyder,0.9538285375730894,2001
L Spillmann,1.3249928327956162,2001
L Stelmach,1.0435353185816938,2001
L Stone,1.0263244901836917,2001
L Tai,1.0394912130577114,2001
L Ungerleider,1.0486267660614261,2001
L Walker,1.1566900726806957,2001
L Wilcox,1.0851771433475794,2001
M Abrahamsson,1.1742372078553078,2001
M Ahissar,0.9749243563828697,2001
M Albert,1.0875251547904954,2001
M Arlt,0.9914090090861035,2001
M Atienza,1.3843705939089817,2001
M Banks,0.9630957684939307,2001
M Bar,1.1549302356720008,2001
M Beck,1.2705051989718703,2001
M Boucart,0.9595790726922834,2001
M Braunstein,1.070132094380425,2001
M Bravo,1.022487920178108,2001
M Buffan,1.1968480330922828,2001
M Carrasco,1.0756787605868432,2001
M Caywood,1.1250178811535831,2001
M Chun,1.0927758380550767,2001
M Crognale,1.243302297192255,2001
M Disch,1.1315324186117246,2001
M Dishon-Berkovits,1.3139467398598896,2001
M Eckstein,0.9546380061739619,2001
M Ernst,1.1956484414291004,2001
M Fabre-Thorpe,1.1175887167295884,2001
M Fahle,1.0292185112782395,2001
M Farr,1.2250447375641813,2001
M Flanagan,1.0921475626920878,2001
M Flückiger,0.9207284087901693,2001
M Georgeson,1.118200375536417,2001
M Giese,1.0983125569346932,2001
M Goldberg,1.1700266057976032,2001
M Goodale,1.1505029888771616,2001
M Grabowecky,0.9765618890935572,2001
M Graf,1.2197073585325295,2001
M Grosjean,1.0656091182507252,2001
M Grunau,1.1862566959400447,2001
M Hansard,1.0646728651301667,2001
M Harrison,1.4246284525808786,2001
M Hayhoe,1.1181429147792294,2001
M Herzog,1.2190747587047377,2001
M Heyde,1.0297985882062637,2001
M Hyle,1.1244908412622479,2001
M Jenkin,1.0918520272084167,2001
M Kaiser,1.1781668781292514,2001
M Kearns,1.2293252506548926,2001
M Kehn,1.2469134168360876,2001
M Kubovy,0.9569926425417027,2001
M Landy,1.0526258696851798,2001
M Lankheet,0.9887326936359434,2001
M Lawson,1.1666738983205307,2001
M Lorusso,1.3325246724286444,2001
M MacKeben,1.2138291484584451,2001
M Mangini,0.941472021772188,2001
M Martelli,1.1354071811812203,2001
M McBeath,1.2467793798985454,2001
M Meyer,1.1132245738159081,2001
M Miyatani,1.2297112961769012,2001
M Morrone,1.1482659450022579,2001
M Nederhouser,0.9152962507521529,2001
M Niemeier,1.0626354419561124,2001
M Nolt,1.1575229333358812,2001
M Palomares,1.348889787845692,2001
M Pananceau,0.9715392727759181,2001
M Paradiso,0.9776322715949197,2001
M Peterson,1.3096373306682128,2001
M Pettet,1.2183862230413913,2001
M Pianta,1.2979234086977964,2001
M Pusch,0.9833302833066326,2001
