"","id","label","measure","CM"
"1",1,"S Wu",3,"degree"
"2",2,"L Wang",6,"degree"
"3",3,"S Most",3,"degree"
"4",4,"R Sawaki",3,"degree"
"5",5,"J Raymond",3,"degree"
"6",6,"S Luck",12,"degree"
"7",7,"R Pedersini",2,"degree"
"8",8,"E Palmer",2,"degree"
"9",9,"C Stothart",1,"degree"
"10",10,"W Boot",5,"degree"
"11",11,"G Humphreys",6,"degree"
"12",12,"J Sui",1,"degree"
"13",13,"J Lee",5,"degree"
"14",14,"S Shomstein",3,"degree"
"15",15,"S Uddenberg",1,"degree"
"16",16,"W Shim",2,"degree"
"17",17,"T Lee",4,"degree"
"18",18,"T Sanocki",2,"degree"
"19",19,"N Sulman",1,"degree"
"20",20,"S Goldinger",3,"degree"
"21",21,"B Kennedy",2,"degree"
"22",22,"J Hoffman",5,"degree"
"23",23,"J Hyun",2,"degree"
"24",24,"T Wright",1,"degree"
"25",25,"N Busch",2,"degree"
"26",26,"P Dux",2,"degree"
"27",27,"V Proietti",2,"degree"
"28",28,"D Plaut",2,"degree"
"29",29,"M Behrmann",5,"degree"
"30",30,"A Heering",1,"degree"
"31",31,"D Maurer",5,"degree"
"32",32,"M Mangini",1,"degree"
"33",33,"B Balas",5,"degree"
"34",34,"S Schweinberger",3,"degree"
"35",35,"L Short",1,"degree"
"36",36,"C Mondloch",3,"degree"
"37",37,"V Goffaux",2,"degree"
"38",38,"C Schiltz",2,"degree"
"39",39,"R Goebel",2,"degree"
"40",40,"T Welsh",3,"degree"
"41",41,"R Russell",1,"degree"
"42",42,"A Porcheron",1,"degree"
"43",43,"F Gentile",1,"degree"
"44",44,"B Rossion",14,"degree"
"45",45,"D Fiset",9,"degree"
"46",46,"C Blais",9,"degree"
"47",47,"Y Zhang",8,"degree"
"48",48,"F Gosselin",12,"degree"
"49",49,"V Willenbockel",8,"degree"
"50",50,"N Dupuis-Roy",7,"degree"
"51",51,"D Bub",7,"degree"
"52",52,"J Tanaka",18,"degree"
"53",53,"K Eo",1,"degree"
"54",54,"S Chong",6,"degree"
"55",55,"I Bülthoff",4,"degree"
"56",56,"C Curio",2,"degree"
"57",57,"J Schultz",2,"degree"
"58",58,"T Foulsham",3,"degree"
"59",59,"D Watson",2,"degree"
"60",60,"A Kingstone",7,"degree"
"61",61,"J Gomez",2,"degree"
"62",62,"K Dalrymple",2,"degree"
"63",63,"B Duchaine",11,"degree"
"64",64,"M Naber",2,"degree"
"65",65,"W Einhäuser",4,"degree"
"66",66,"O Carter",2,"degree"
"67",67,"C Quaia",2,"degree"
