"","from","to"
"1","S Lomber","B Payne"
"2","M Fenske","J Raymond"
"4","M Crognale","M Crognale"
"5","M Carrasco","F Loula"
"6","V Ramachandran","E Hubbard"
"7","R VanRullen","F Hamker"
"8","A Giersch","A Giersch"
"9","C Olivers","G Humphreys"
"10","A Reeves","E Fine"
"11","B Breitmeyer","J Brown"
"12","J Brown","J Brown"
"13","M Matsukura","E Awh"
"14","J Serences","E Awh"
"15","J Serences","M Matsukura"
"16","A Roe","A Roe"
"17","H Orbach","H Orbach"
"18","B Breitmeyer","H Ogmen"
"19","S Afraz","R Rajimehr"
"20","M Flanagan","J May"
"21","T Ro","R Rafal"
"22","K Murphy","D Jones"
"23","D Ellemberg","T Lewis"
"24","D Maurer","T Lewis"
"25","D Maurer","D Ellemberg"
"26","B Lee","T Lewis"
"27","B Lee","D Ellemberg"
"28","B Lee","D Maurer"
"29","S Shimojo","D Wu"
"30","H Yaguchi","S Shioiri"
"31","C Schor","C Cantor"
"32","P Cavanagh","R Cai"
"33","S Chung","B Tjan"
"34","G Legge","B Tjan"
"35","G Legge","S Chung"
"36","T Lawton","T Lawton"
"37","R Laycock","S Crewther"
"38","D Crewther","S Crewther"
"39","D Crewther","R Laycock"
"40","S Chung","S Chung"
"41","G DeAngelis","G DeAngelis"
"42","R Krauzlis","J Perrone"
"43","R Wezel","J Duijnhouwer"
"44","M Tarr","Q Vuong"
"46","J Davidoff","J Davidoff"
"47","G Humphrey","T James"
"48","R Menon","T James"
"49","R Menon","G Humphrey"
"50","M Goodale","T James"
"51","M Goodale","G Humphrey"
"52","M Goodale","R Menon"
"53","G Humphrey","K James"
"54","M Goodale","K James"
"56","M Behrmann","A Cate"
"57","A Chaudhuri","A Chaudhuri"
"58","H Bruggeman","A Yonas"
"59","M Goodale","M Goodale"
"60","J Philbeck","J Philbeck"
"61","O Braddick","O Braddick"
"62","P Thompson","P Thompson"
"63","P Dassonville","P Dassonville"
"64","W Thompson","S Creem-Regehr"
"65","C Wright","C Chubb"
"66","H Ashida","H Ashida"
"68","M Chun","D Yi"
"69","D Poggel","D Poggel"
"70","P Sowden","P Sowden"
"71","K Nakayama","S Mednick"
"72","B Dosher","Z Lu"
"73","Z Lu","J Lu"
"74","B Dosher","J Lu"
"76","S Lomber","S Lomber"
"77","B Rossion","C Kung"
"78","Q Vuong","C Kung"
"79","Q Vuong","B Rossion"
"80","M Tarr","C Kung"
"81","M Tarr","B Rossion"
"83","I Kovács","I Kovács"
"84","T Watanabe","S Koyama"
"85","L Vaina","S Beardsley"
"86","S Engel","S Engel"
"87","Z Lu","W Chu"
"88","B Dosher","W Chu"
"90","S Grossberg","S Grossberg"
"91","E Blaser","W Sohn"
"92","Z Vidnyánszky","W Sohn"
"93","Z Vidnyánszky","E Blaser"
"94","T Papathomas","W Sohn"
"95","T Papathomas","E Blaser"
"96","T Papathomas","Z Vidnyánszky"
"97","M Singh","M Singh"
"98","Z Pizlo","M Scheessele"
"99","L Maloney","I Oruc"
"100","M Landy","I Oruc"
"101","M Landy","L Maloney"
"102","Y Lee","H Norman"
"103","J Lappin","H Norman"
"104","J Lappin","Y Lee"
"105","L Wilcox","K MacKenzie"
"106","J Todd","B Liu"
"107","A Doorn","J Koenderink"
"108","A Kappers","J Koenderink"
"109","A Kappers","A Doorn"
"110","S Pas","J Koenderink"
"111","S Pas","A Doorn"
"112","S Pas","A Kappers"
"113","S Pont","J Koenderink"
"114","S Pont","A Doorn"
"115","S Pont","A Kappers"
"116","S Pont","S Pas"
"117","M Fahle","M Fahle"
"118","A Holcombe","A Holcombe"
"119","A Williams","R Fleming"
"120","B Anderson","R Fleming"
"121","B Anderson","A Williams"
"122","Z Vidnyanszky","E Blaser"
"124","T Papathomas","Z Vidnyanszky"
"125","E Mingolla","E Mingolla"
"126","J Faubert","A Bertone"
"127","B Bertenthal","B Bertenthal"
"128","Z Zhang","E Berends"
"129","Y Tanaka","E Berends"
"130","Y Tanaka","Z Zhang"
"131","C Schor","E Berends"
"132","C Schor","Z Zhang"
"133","C Schor","Y Tanaka"
"134","J Elder","J Elder"
"135","P Mamassian","W Adams"
"136","D Fitzpatrick","X Xu"
"137","V Casagrande","X Xu"
"138","V Casagrande","D Fitzpatrick"
"139","S Grossberg","A Seitz"
"140","S Schultz","S Schultz"
