"","from","to"
"1","A Holcombe","T Schubert"
"2","K Grill-Spector","T Schubert"
"3","K Grill-Spector","A Holcombe"
"4","K James","T Schubert"
"5","K James","A Holcombe"
"6","K James","K Grill-Spector"
"7","S Vinci-Booher","K James"
"8","I Fiebelkorn","I Fiebelkorn"
"9","F Soto","J Hays"
"10","I Wiegand","I Wiegand"
"11","M Dye","M Dye"
"12","D Mendoza-Halliday","B He"
"13","V McGinty","B He"
"14","V McGinty","D Mendoza-Halliday"
"15","T Panagiotaropoulos","B He"
"16","T Panagiotaropoulos","D Mendoza-Halliday"
"17","T Panagiotaropoulos","V McGinty"
"18","H Lau","B He"
"19","H Lau","D Mendoza-Halliday"
"20","H Lau","V McGinty"
"21","H Lau","T Panagiotaropoulos"
"22","M Bar","B He"
"23","M Bar","D Mendoza-Halliday"
"24","M Bar","V McGinty"
"25","M Bar","T Panagiotaropoulos"
"26","M Bar","H Lau"
"27","H Lau","H Lau"
"28","J Schroeder","C Horner"
"29","S Mitroff","C Horner"
"30","S Mitroff","J Schroeder"
"31","M Cain","C Horner"
"32","M Cain","J Schroeder"
"33","M Cain","S Mitroff"
"34","L Daoudi","M Herzog"
"35","H Ögmen","M Herzog"
"36","H Ögmen","L Daoudi"
"37","G Cicchini","M Herzog"
"38","G Cicchini","L Daoudi"
"39","G Cicchini","H Ögmen"
"40","Y Murai","Z Wang"
"41","D Whitney","Z Wang"
"42","D Whitney","Y Murai"
"43","C Firestone","J Morales"
"44","N Troje","N Troje"
"45","I Sligte","D Lindh"
"46","K Shapiro","D Lindh"
"47","K Shapiro","I Sligte"
"48","I Charest","D Lindh"
"49","I Charest","I Sligte"
"50","I Charest","K Shapiro"
"51","M Jackson","L Kwakye"
"52","Y Chen","P Huang"
"53","M Proulx","K Wakamatsu"
"54","S Nakauchi","K Wakamatsu"
"55","S Nakauchi","M Proulx"
"56","C Tsai","S Chien"
"57","G Alvarez","M Cohen"
"58","E Saad","A Stumps"
"59","E Lee","A Stumps"
"60","E Lee","E Saad"
"61","J Arizpe","A Stumps"
"62","J Arizpe","E Saad"
"63","J Arizpe","E Lee"
"64","J DeGutis","A Stumps"
"65","J DeGutis","E Saad"
"66","J DeGutis","E Lee"
"67","J DeGutis","J Arizpe"
"68","J Fahrenfort","C Boomen"
"69","T Snijders","C Boomen"
"70","T Snijders","J Fahrenfort"
"71","C Kemner","C Boomen"
"72","C Kemner","J Fahrenfort"
"73","C Kemner","T Snijders"
"74","G Cottrell","G Cottrell"
"75","D Rahnev","N Haddara"
"76","S Yu","E Palmer"
"77","G Anderson","E Palmer"
"78","G Anderson","S Yu"
"79","G Lee","E Palmer"
"80","G Lee","S Yu"
"81","G Lee","G Anderson"
"82","Y Zhao","P Zhang"
"83","B Dosher","P Zhang"
"84","B Dosher","Y Zhao"
"85","Z Lu","P Zhang"
"86","Z Lu","Y Zhao"
"87","Z Lu","B Dosher"
"88","J Náñez","S Holloway"
"89","M McBeath","S Holloway"
"90","M McBeath","J Náñez"
"91","J Golomb","P Scotti"
"92","R Blake","O Cha"
"93","I Gauthier","O Cha"
"94","I Gauthier","R Blake"
"95","A Lee","S Ling"
"96","B Armstrong","S Ling"
"97","B Armstrong","A Lee"
"98","A Nestor","S Ling"
"99","A Nestor","A Lee"
"100","A Nestor","B Armstrong"
"101","M Arguin","M Arguin"
"102","T Ghose","T Ghose"
"103","J Brooks","J Brooks"
"104","M Peterson","D Perez"
"105","M Spering","J Fooken"
"106","M Green","M Pratte"
"107","R Datta","G Aguirre"
"108","M Chen","G Aguirre"
"109","M Chen","R Datta"
"110","K Cloud","G Aguirre"
"111","K Cloud","R Datta"
"112","K Cloud","M Chen"
"113","J Morgan","G Aguirre"
"114","J Morgan","R Datta"
"115","J Morgan","M Chen"
"116","J Morgan","K Cloud"
"117","S Sun","Y He"
"118","A Roy","Y He"
"119","A Roy","S Sun"
"120","A Caspi","Y He"
"121","A Caspi","S Sun"
"122","A Caspi","A Roy"
"123","J Abrams","A Barbot"
"124","M Carrasco","A Barbot"
"125","M Carrasco","J Abrams"
"126","A Edadan","W Zuiderbaan"
"127","S Dumoulin","W Zuiderbaan"
"128","S Dumoulin","A Edadan"
"129","P König","W Zuiderbaan"
"130","P König","A Edadan"
"131","P König","S Dumoulin"
"132","M Goodale","D Arnold"
"133","S He","C Moore"
"134","J Mordkoff","C Moore"
"135","J Mordkoff","S He"
"136","J Nah","A Collegio"
"137","D Dubbelde","A Collegio"
"138","D Dubbelde","J Nah"
"139","S Shomstein","A Collegio"
"140","S Shomstein","J Nah"
"141","S Shomstein","D Dubbelde"
"142","S Chong","J Lee"
"143","M Escobar","A Weinstein"
"144","R VanRullen","P Marque"
"145","W Warren","J Bai"
"146","S Luck","N Gaspelin"
"147","M Ward","B Bankson"
"148","R Richardson","B Bankson"
"149","R Richardson","M Ward"
"150","A Ghuman","B Bankson"
"151","A Ghuman","M Ward"
"152","A Ghuman","R Richardson"
"153","L Emberson","N Xiao"
"154","O Cheung","W Chen"
"155","Y Morgenstern","H Tiedemann"
"156","F Schmidt","H Tiedemann"
"157","F Schmidt","Y Morgenstern"
"158","R Fleming","H Tiedemann"
"159","R Fleming","Y Morgenstern"
"160","R Fleming","F Schmidt"
"161","R Reeder","R Reeder"
"162","Y Mohsenzadeh","K Ramakrishnan"
"163","M Monfort","K Ramakrishnan"
"164","M Monfort","Y Mohsenzadeh"
