"","year","lowerlemma","count"
"1",2009,"model",597
"2",2009,"learn",581
"3",2009,"result",509
"4",2009,"use",502
"5",2009,"be",485
"6",2009,"study",478
"7",2009,"task",465
"8",2009,"show",406
"9",2009,"participant",391
"10",2009,"word",391
"11",2009,"learning",390
"12",2009,"two",327
"13",2009,"process",324
"14",2009,"effect",323
"15",2009,"language",320
"16",2009,"when",318
"17",2009,"more",317
"18",2009,"experiment",306
"19",2009,"present",288
"20",2009,"information",256
"21",2009,"suggest",256
"22",2009,"object",250
"23",2009,"how",237
"24",2009,"one",236
"25",2009,"different",235
"26",2009,"cognitive",234
"27",2009,"have",229
"28",2009,"memory",228
"29",2009,"base",224
"30",2009,"human",215
"31",2009,"make",213
"32",2009,"representation",212
"33",2009,"child",210
"34",2009,"find",208
"35",2009,"performance",207
"36",2009,"time",197
"37",2009,"condition",196
"38",2009,"problem",195
"39",2009,"theory",192
"40",2009,"as",189
"41",2009,"knowledge",186
"42",2009,"category",185
"43",2009,"data",183
"44",2009,"people",182
"45",2009,"structure",180
"46",2009,"system",179
"47",2009,"research",177
"48",2009,"also",176
"49",2009,"difference",172
"50",2009,"test",172
"51",2009,"other",168
"52",2009,"however",164
"53",2009,"visual",163
"54",2009,"processing",159
"55",2009,"provide",154
"56",2009,"group",153
"57",2009,"level",153
"58",2009,"such",153
"59",2009,"examine",150
"60",2009,"work",150
"61",2009,"investigate",146
"62",2009,"number",146
"63",2009,"decision",144
"64",2009,"feature",142
"65",2009,"individual",141
"66",2009,"only",134
"67",2009,"strategy",132
"68",2009,"influence",131
"69",2009,"semantic",131
"70",2009,"control",128
"71",2009,"causal",127
"72",2009,"judgment",125
"73",2009,"mechanism",123
"74",2009,"action",122
"75",2009,"analysis",122
"76",2009,"spatial",121
"77",2009,"compare",120
"78",2009,"response",120
"79",2009,"target",120
"80",2009,"role",119
"81",2009,"paper",117
"82",2009,"same",117
"83",2009,"evidence",114
"84",2009,"not",113
"85",2009,"context",109
